;bond_length_average;bond_length_variance;k_values;length_values
0;0.932201123973;0.000771787536309;820.0;0.93
1;1.39261849913;0.00143470622829;420.0;1.39
2;0.79383426728;0.000992654297121;620.0;0.79
3;1.33205059499;0.00064728153162;980.0;1.33
4;0.836543203549;0.0014504812442;420.0;0.83
5;1.39128980074;0.000681040414908;940.0;1.39
6;0.872067428761;0.000642620845006;980.0;0.87
7;0.975592965786;0.00152215852658;380.0;0.97
8;0.99258812979;0.00103336858641;600.0;0.99
9;1.09173013808;0.000635609377048;980.0;1.09
10;0.942506386914;0.000896338348591;700.0;0.94
11;1.27206987708;0.000937391120658;680.0;1.27
12;1.3913981348;0.000727768850226;920.0;1.39
13;1.03424485647;0.00162566405181;380.0;1.03
14;0.797107645637;0.00149062944236;400.0;0.79
15;1.09231031831;0.000847804660336;720.0;1.09
16;0.97168449796;0.000742080619963;860.0;0.97
17;0.912508416375;0.000648890669786;980.0;0.91
18;1.24318196864;0.0010709270196;580.0;1.24
19;0.945449919737;0.00154141588238;400.0;0.94
20;1.23367767088;0.00153369571934;380.0;1.23
21;1.27231300227;0.00109660786756;560.0;1.27
22;1.24219970049;0.000882260972781;700.0;1.24
23;1.21335780812;0.00122476045437;500.0;1.21
24;1.0328190792;0.000974531664096;640.0;1.03
25;1.39369934125;0.00156506013622;400.0;1.39
26;1.33200221729;0.000993767157845;620.0;1.33
27;1.3913813603;0.000704505930463;880.0;1.39
28;0.893005857296;0.000784052002654;780.0;0.89
29;1.39314796194;0.00159895256006;380.0;1.39
30;1.39204522362;0.000649326343137;960.0;1.39
31;1.09250759585;0.00107388239732;560.0;1.09
32;0.792885527862;0.000782563659077;800.0;0.79
33;1.35142549754;0.000912398413302;680.0;1.35
34;1.11439628427;0.00153721177519;400.0;1.11
35;1.39064249522;0.000940538746974;640.0;1.39
36;0.875128355951;0.00163411995952;380.0;0.87
37;0.934367701781;0.00121040586214;520.0;0.93
38;0.942194873779;0.000656521375027;940.0;0.94
39;1.01207112577;0.000712139246415;900.0;1.01
40;1.3917298356;0.000878625030244;720.0;1.39
41;1.21107707751;0.000640623280997;980.0;1.21
42;1.24347408215;0.00142767901419;420.0;1.24
43;0.973180792904;0.00113152382975;560.0;0.97
44;1.09162091115;0.000672294326277;980.0;1.09
45;1.15184100797;0.000819878785785;740.0;1.15
46;1.0931899696;0.00103453745579;600.0;1.09
47;1.01317471352;0.000899393152706;680.0;1.01
48;1.07127520225;0.000638615846115;980.0;1.07
49;0.914208964287;0.00123093029743;500.0;0.91
50;1.29113133834;0.000661960266356;980.0;1.29
51;1.23214689821;0.000921027089344;680.0;1.23
52;1.31140278679;0.00072350023409;900.0;1.31
53;1.23159137184;0.000677456116618;980.0;1.23
54;0.793499240751;0.000901417591396;680.0;0.79
55;1.17426379864;0.00155249840021;380.0;1.17
56;1.39397370046;0.00159839575019;380.0;1.39
57;1.24207087216;0.000926959814027;680.0;1.24
58;0.943010598346;0.00092121962078;680.0;0.94
59;0.942378570986;0.000757179725716;800.0;0.94
60;1.09098582257;0.000649815970262;960.0;1.09
61;1.1318310983;0.000660475579662;980.0;1.13
62;0.793921087725;0.000901146379381;680.0;0.79
