;bond_length_average;bond_length_average_unc;bond_length_variance;bond_length_variance_unc;param_values
0;1.09262032838;0.000559648934857;0.000905481235417;2.35432080163e-05;('680', '1.09')
1;1.0982972672;0.00065485184972;0.000955779479067;3.09190402195e-05;('663.0', '1.09545')
2;1.08087992045;0.000954196502102;0.0010649798851;4.86771421573e-05;('663.0', '1.0791')
3;1.10370952192;0.000918568480619;0.00104426694766;5.07679083797e-05;('663.0', '1.1009')
4;1.07491864602;0.00144868302895;0.00120286739103;7.93687894744e-05;('663.0', '1.07365')
5;1.10881167244;0.00140893844347;0.00118398525912;8.92617151621e-05;('663.0', '1.10635')
6;1.06936231054;0.00205051145793;0.00134420470188;0.000119822282388;('663.0', '1.0682')
7;1.1135089715;0.00215967837935;0.00136239383029;0.000151492073522;('663.0', '1.1118')
8;1.09266171402;0.000574729946536;0.000928400202696;2.47542000762e-05;('663.0', '1.09')
9;1.08678771813;0.00063135370663;0.000921659829375;2.79401126529e-05;('697.0', '1.08455')
10;1.09818312872;0.000620458441691;0.000912260793308;2.81181277157e-05;('697.0', '1.09545')
11;1.08082795083;0.000910465107618;0.00102217745066;4.55990067464e-05;('697.0', '1.0791')
12;1.10358974349;0.000871851557719;0.00100313585997;4.70120149343e-05;('697.0', '1.1009')
13;1.07481694164;0.00140798876137;0.0011658144282;7.64563692834e-05;('697.0', '1.07365')
14;1.10872933281;0.00136401304;0.00114741732895;8.59983870535e-05;('697.0', '1.10635')
15;1.06915040332;0.00202955442006;0.00131644301874;0.00011771180277;('697.0', '1.0682')
