#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,270.078511359,2019.17394062,0.0124738315839
2000,115.106372685,1103.06331272,0.0124738315839
3000,69.3288073095,653.346610182,0.0124738315839
4000,64.8850077045,413.884234162,0.0124738315839
5000,46.7705658529,313.155876345,0.0124738315839
6000,37.9131294535,242.894479043,0.0124738315839
7000,62.393907268,253.136346652,0.0124738315839
8000,46.8339181147,382.609841808,0.0124738315839
9000,58.4171302072,333.047158227,0.0124738315839
10000,42.1022347677,394.052879971,0.0124738315839
11000,59.516494542,201.578777754,0.0124738315839
12000,44.6092386291,216.160954316,0.0124738315839
13000,44.2559890263,369.722894664,0.0124738315839
14000,33.8489699753,430.074430916,0.0124738315839
15000,41.9686321039,199.811424149,0.0124738315839
16000,46.095628273,364.127879615,0.0124738315839
17000,43.8331121771,317.696754071,0.0124738315839
18000,29.6504242054,300.30490523,0.0124738315839
19000,43.2424212488,169.206259008,0.0124738315839
20000,46.4868520995,271.786480856,0.0124738315839
21000,49.5485366558,226.758647697,0.0124738315839
22000,55.4857886644,234.30561242,0.0124738315839
23000,45.4945374217,365.895750478,0.0124738315839
24000,49.015080695,227.954100932,0.0124738315839
25000,52.0617775507,223.382182111,0.0124738315839
26000,30.0559987487,258.096333721,0.0124738315839
27000,38.752957905,292.502482108,0.0124738315839
28000,49.1594659389,431.621001513,0.0124738315839
29000,58.6232685008,340.420033581,0.0124738315839
30000,43.0647329688,255.716558473,0.0124738315839
31000,38.8641908028,281.455751601,0.0124738315839
32000,42.8492579214,243.315437955,0.0124738315839
33000,45.0196268148,395.512134345,0.0124738315839
34000,46.4598197374,387.298503059,0.0124738315839
35000,41.0491154552,266.434844631,0.0124738315839
36000,43.0700620244,369.905753323,0.0124738315839
37000,39.6713081621,462.06412019,0.0124738315839
38000,69.808683305,306.772130286,0.0124738315839
39000,43.1184104141,445.453829765,0.0124738315839
40000,30.948231224,312.578449389,0.0124738315839
41000,48.8577454009,266.418574278,0.0124738315839
42000,46.8240464373,252.75850725,0.0124738315839
43000,38.1140367886,332.949571118,0.0124738315839
44000,44.1088572026,357.60903251,0.0124738315839
45000,36.8611729467,291.74992194,0.0124738315839
46000,68.3457457397,303.333521037,0.0124738315839
47000,45.4800436958,424.353106773,0.0124738315839
48000,57.2047421668,344.456915513,0.0124738315839
49000,63.1319970982,270.590724755,0.0124738315839
50000,46.7625455186,304.195003058,0.0124738315839
51000,46.0094474851,362.99670099,0.0124738315839
52000,56.4887661888,402.231906672,0.0124738315839
53000,45.0519810572,460.384398914,0.0124738315839
54000,47.9484508965,212.864017008,0.0124738315839
55000,39.0220234592,239.126578702,0.0124738315839
56000,41.3035175048,408.537513025,0.0124738315839
57000,47.9521286683,275.31112167,0.0124738315839
58000,53.7492344848,370.500117043,0.0124738315839
59000,36.9985564517,486.980379232,0.0124738315839
60000,40.4230098255,310.561792543,0.0124738315839
61000,40.7693270783,293.94075622,0.0124738315839
62000,40.5148323544,411.622772732,0.0124738315839
63000,45.8325523616,334.539048229,0.0124738315839
64000,69.7801890206,302.090889476,0.0124738315839
65000,41.1196684573,221.153416244,0.0124738315839
66000,51.7195061532,242.499336312,0.0124738315839
67000,55.3100943061,172.879726654,0.0124738315839
