#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,30.8005557903,280.912913172,0.0124738315839
2000,20.6265192971,336.352025738,0.0124738315839
3000,29.9290145126,268.422316508,0.0124738315839
4000,33.9702650019,383.084315783,0.0124738315839
5000,38.9037795038,350.389019501,0.0124738315839
6000,30.9711316047,385.000653521,0.0124738315839
7000,34.4125141309,367.958874519,0.0124738315839
8000,31.9353062811,323.612072715,0.0124738315839
9000,31.2654330369,250.794061866,0.0124738315839
10000,38.1464383743,181.87174417,0.0124738315839
11000,36.0676845958,286.151937365,0.0124738315839
12000,38.7831041857,240.812570728,0.0124738315839
13000,29.9882251677,304.4398772,0.0124738315839
14000,37.0875070856,262.458487314,0.0124738315839
15000,25.7950599342,341.643072263,0.0124738315839
16000,33.975892493,201.253092465,0.0124738315839
17000,45.0047740709,334.149570881,0.0124738315839
18000,46.2734430244,344.814335621,0.0124738315839
19000,28.9845145423,217.26765022,0.0124738315839
20000,41.3655678511,180.208938565,0.0124738315839
21000,36.877799836,322.898268007,0.0124738315839
22000,32.431098812,376.580144639,0.0124738315839
23000,39.1307871822,287.036807145,0.0124738315839
24000,37.3983474795,341.28718313,0.0124738315839
25000,49.02019849,338.757926812,0.0124738315839
26000,27.3680571199,457.775213924,0.0124738315839
27000,50.2434687361,200.210708848,0.0124738315839
28000,32.7192858762,324.441812564,0.0124738315839
29000,36.4721698223,384.662050185,0.0124738315839
30000,63.1957964301,212.783549353,0.0124738315839
31000,47.9910974113,293.27627925,0.0124738315839
32000,39.5198354897,314.524306136,0.0124738315839
33000,53.3099537163,337.116512065,0.0124738315839
34000,30.1447271568,437.78622534,0.0124738315839
35000,52.651186944,317.820751567,0.0124738315839
36000,46.0945180011,372.771550467,0.0124738315839
37000,64.036557019,401.745411606,0.0124738315839
38000,59.6025484297,368.692621525,0.0124738315839
39000,37.2004761067,363.474232674,0.0124738315839
40000,35.6718891146,457.432713435,0.0124738315839
