#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,88.5684500078,508.434357765,0.0124738315839
2000,53.1865696597,417.476372352,0.0124738315839
3000,50.0689588782,259.617945568,0.0124738315839
4000,27.2277832134,387.636993982,0.0124738315839
5000,43.0682594017,310.899147549,0.0124738315839
6000,21.0294401893,328.103195832,0.0124738315839
7000,31.9936619498,428.90931827,0.0124738315839
8000,49.2574044947,217.280507399,0.0124738315839
9000,45.3062747143,252.818720888,0.0124738315839
10000,41.2084547406,277.095830171,0.0124738315839
11000,37.5663023186,178.886258471,0.0124738315839
12000,23.8550933778,256.55561968,0.0124738315839
13000,28.8466308355,235.643354603,0.0124738315839
14000,25.404568671,280.116247663,0.0124738315839
15000,41.6316326949,313.555694348,0.0124738315839
16000,20.5409629775,375.857681074,0.0124738315839
17000,43.4726966076,308.192186952,0.0124738315839
18000,81.2707757833,320.774089146,0.0124738315839
19000,40.5368815217,332.567958314,0.0124738315839
20000,37.2566198126,258.951901787,0.0124738315839
21000,38.7031333517,280.88880793,0.0124738315839
22000,37.9130980361,237.216074675,0.0124738315839
23000,31.1889245654,341.986307815,0.0124738315839
24000,39.2399893764,409.60161971,0.0124738315839
25000,37.3521422325,391.275310151,0.0124738315839
26000,38.4208979071,302.574964407,0.0124738315839
27000,36.4170066593,218.266249736,0.0124738315839
28000,32.0890618533,376.518539043,0.0124738315839
29000,28.5671507955,274.483416905,0.0124738315839
30000,17.6317072314,327.716879333,0.0124738315839
31000,42.578196246,271.271178187,0.0124738315839
32000,28.6118829725,297.98287275,0.0124738315839
33000,31.0777128813,357.924547867,0.0124738315839
34000,37.441563587,286.791157794,0.0124738315839
35000,43.2008288566,215.75216391,0.0124738315839
36000,28.5154280618,211.775760152,0.0124738315839
37000,20.8142856397,171.00095054,0.0124738315839
38000,34.5856989759,177.997469806,0.0124738315839
39000,26.5753449858,219.132500872,0.0124738315839
40000,29.6809739819,269.907566027,0.0124738315839
41000,36.0340879867,264.778089819,0.0124738315839
42000,37.1106677541,373.188554917,0.0124738315839
43000,49.4891495614,205.289824332,0.0124738315839
44000,73.5930920552,342.132104749,0.0124738315839
45000,47.0855970503,345.406255752,0.0124738315839
46000,53.6328053331,221.576891262,0.0124738315839
47000,38.680341375,607.403364842,0.0124738315839
48000,40.1947073494,381.652709571,0.0124738315839
49000,46.3082728346,346.683675623,0.0124738315839
50000,39.6391374779,438.60999705,0.0124738315839
51000,59.7613710005,393.809759983,0.0124738315839
52000,34.5801773032,273.260515643,0.0124738315839
53000,47.8827750734,310.872619712,0.0124738315839
