#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,67.8695895785,671.11287289,0.0124738315839
2000,33.1833185715,396.349642384,0.0124738315839
3000,57.2057373197,350.30534405,0.0124738315839
4000,59.997541409,358.388390259,0.0124738315839
5000,54.8966378918,147.430925391,0.0124738315839
6000,38.2863971452,397.317114041,0.0124738315839
7000,36.1573639972,378.890392159,0.0124738315839
8000,33.2552433025,228.089213415,0.0124738315839
9000,52.6232678392,242.208095725,0.0124738315839
10000,43.1085194675,311.080322722,0.0124738315839
11000,22.2336733529,293.36546996,0.0124738315839
12000,18.5316497363,307.122403944,0.0124738315839
13000,29.9672871401,238.922343922,0.0124738315839
14000,34.0234339194,224.27956794,0.0124738315839
15000,50.898232594,315.719274612,0.0124738315839
16000,86.2901578871,358.944745525,0.0124738315839
17000,28.4005027466,226.599363938,0.0124738315839
18000,26.9871787116,238.065831772,0.0124738315839
19000,46.9910141357,149.804335041,0.0124738315839
20000,28.1116083027,348.593298621,0.0124738315839
21000,44.7786801206,368.863822702,0.0124738315839
22000,53.7681434863,214.229290707,0.0124738315839
23000,38.5618086469,395.566149975,0.0124738315839
24000,50.9562148986,278.328261376,0.0124738315839
25000,29.7426377727,312.010928775,0.0124738315839
26000,32.6489465902,194.943506309,0.0124738315839
27000,37.7240851237,327.588017748,0.0124738315839
28000,44.7968761441,290.645839468,0.0124738315839
29000,34.5617204771,429.775771195,0.0124738315839
30000,45.0694255686,272.687438676,0.0124738315839
31000,60.3793150743,226.277814702,0.0124738315839
32000,59.8850386596,285.70777481,0.0124738315839
33000,54.0895045931,341.294024393,0.0124738315839
34000,54.5015018001,302.783719852,0.0124738315839
35000,62.4918811673,295.75438694,0.0124738315839
36000,45.1059793289,283.37970315,0.0124738315839
37000,39.049097533,340.965885681,0.0124738315839
38000,59.9128768157,424.337305972,0.0124738315839
39000,42.6335475857,547.982640518,0.0124738315839
40000,39.5848491254,394.772390336,0.0124738315839
41000,50.8869380632,350.099737195,0.0124738315839
42000,56.6253101295,308.696339031,0.0124738315839
43000,29.4249023505,383.716981475,0.0124738315839
44000,35.9593155897,267.767726673,0.0124738315839
45000,33.1100480516,294.721957841,0.0124738315839
46000,36.2836302286,245.682311052,0.0124738315839
47000,28.4620650053,203.193706171,0.0124738315839
48000,27.3573458873,230.713516295,0.0124738315839
49000,34.9444218746,345.167109612,0.0124738315839
50000,50.5510439399,237.751120117,0.0124738315839
51000,46.5644591574,306.403195175,0.0124738315839
52000,52.3942091974,176.27892782,0.0124738315839
53000,24.5260071187,329.396270838,0.0124738315839
54000,43.2177936615,259.013257357,0.0124738315839
55000,40.7203958155,293.037385951,0.0124738315839
56000,20.6638563773,329.826800844,0.0124738315839
57000,30.6589067522,277.449477841,0.0124738315839
58000,50.4056387308,292.277060435,0.0124738315839
59000,37.6635668663,330.601093649,0.0124738315839
60000,50.4364849049,223.64518502,0.0124738315839
61000,43.4958664903,284.643551266,0.0124738315839
62000,49.6626732951,348.891636448,0.0124738315839
63000,53.5676829998,447.488400892,0.0124738315839
64000,59.0000059885,437.484932091,0.0124738315839
65000,55.7218303952,436.457166483,0.0124738315839
66000,59.574375122,312.030211085,0.0124738315839
67000,72.8700380937,232.213041988,0.0124738315839
68000,71.3755569169,241.312934665,0.0124738315839
69000,52.0970276577,276.326680496,0.0124738315839
70000,59.712035476,452.401253661,0.0124738315839
71000,43.4181925137,451.308548994,0.0124738315839
72000,36.6750745738,326.929304558,0.0124738315839
73000,54.7862633094,277.531531109,0.0124738315839
74000,36.4564272646,379.625028277,0.0124738315839
75000,49.8957801983,259.378476869,0.0124738315839
76000,42.0589507082,227.075229322,0.0124738315839
77000,32.8220098923,225.670174905,0.0124738315839
78000,21.2546122198,232.283724615,0.0124738315839
79000,30.941271383,194.214779825,0.0124738315839
80000,30.9856766795,341.94266817,0.0124738315839
81000,38.2998265338,293.639789411,0.0124738315839
82000,47.0094972281,305.946158708,0.0124738315839
