#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,209.324748012,1905.83972971,0.0124738315839
2000,169.120530121,692.761545043,0.0124738315839
3000,91.0726760741,551.142583012,0.0124738315839
4000,59.0012055512,340.685634926,0.0124738315839
5000,43.2902389765,265.056324486,0.0124738315839
6000,40.748186806,361.14438892,0.0124738315839
7000,47.2275302982,212.621211016,0.0124738315839
8000,65.9219732137,253.153099456,0.0124738315839
9000,53.1464963488,481.957763192,0.0124738315839
10000,67.9202114165,305.828359768,0.0124738315839
11000,31.0307049905,318.995415402,0.0124738315839
12000,25.3373675418,386.558089939,0.0124738315839
13000,36.7180258819,358.758448723,0.0124738315839
14000,39.3643672297,267.043090217,0.0124738315839
15000,44.4918082061,278.300590726,0.0124738315839
16000,36.690135314,274.505094475,0.0124738315839
17000,41.2183100819,344.162780571,0.0124738315839
18000,55.4859689302,243.090130591,0.0124738315839
19000,51.6214407523,221.979173884,0.0124738315839
20000,38.6887491676,191.613036422,0.0124738315839
21000,41.6157045143,216.452081369,0.0124738315839
22000,39.9136235135,268.181670173,0.0124738315839
23000,35.8658209121,464.60698626,0.0124738315839
24000,54.1923511206,496.387540444,0.0124738315839
25000,62.0286989826,291.678961462,0.0124738315839
26000,55.5798496174,404.533244723,0.0124738315839
27000,64.1008313183,506.620814382,0.0124738315839
28000,52.2924700462,304.159991819,0.0124738315839
29000,52.6953839473,381.289598716,0.0124738315839
30000,33.442464334,299.019331877,0.0124738315839
31000,30.7085769663,314.419649615,0.0124738315839
32000,41.8813864982,270.134633444,0.0124738315839
33000,35.333015708,270.085252832,0.0124738315839
34000,55.7586070535,341.534428921,0.0124738315839
35000,78.9938047803,351.595671581,0.0124738315839
36000,63.4742760804,395.453774416,0.0124738315839
37000,38.65310923,368.867606947,0.0124738315839
38000,39.8862885209,380.836782473,0.0124738315839
39000,51.903143676,172.793763309,0.0124738315839
40000,41.1446942307,347.012055967,0.0124738315839
41000,43.433590154,417.656885748,0.0124738315839
42000,53.9785808629,235.931037032,0.0124738315839
43000,51.3011376847,264.587322088,0.0124738315839
44000,39.3238110372,368.523904151,0.0124738315839
45000,51.6111112051,330.139880991,0.0124738315839
46000,29.6703206305,264.265943221,0.0124738315839
47000,56.8797995769,204.808246295,0.0124738315839
48000,50.791876232,316.058735747,0.0124738315839
49000,36.6140581073,403.166438111,0.0124738315839
50000,68.3902100475,455.669342205,0.0124738315839
51000,52.6293152452,308.490711958,0.0124738315839
52000,50.4600919147,373.064709021,0.0124738315839
53000,34.8199931551,438.152726082,0.0124738315839
54000,49.7851726132,409.085978366,0.0124738315839
55000,66.1058125105,387.726360209,0.0124738315839
56000,54.4725764116,456.873950343,0.0124738315839
57000,67.2143456126,447.89954624,0.0124738315839
58000,50.9636402745,443.793949486,0.0124738315839
59000,46.6525071814,226.98470201,0.0124738315839
60000,47.6564044119,289.650588139,0.0124738315839
61000,42.9267990431,299.700075369,0.0124738315839
62000,36.0473656483,372.038886747,0.0124738315839
63000,42.7703923594,351.712608969,0.0124738315839
64000,36.2144527811,293.74274333,0.0124738315839
65000,37.8682794277,170.138798793,0.0124738315839
66000,30.9921685984,382.573702845,0.0124738315839
67000,35.7467472077,179.218718769,0.0124738315839
68000,39.5392149717,145.835908031,0.0124738315839
69000,48.4047356948,234.660757244,0.0124738315839
70000,40.0852576694,304.240215875,0.0124738315839
71000,38.6636734325,250.79021127,0.0124738315839
72000,34.0957159525,253.453367373,0.0124738315839
73000,38.3922990624,427.520845751,0.0124738315839
74000,26.809250913,171.478725152,0.0124738315839
75000,38.2086068998,282.937579119,0.0124738315839
76000,34.2801896441,175.020407931,0.0124738315839
77000,26.9925383227,231.639489985,0.0124738315839
78000,31.7059011735,274.203735389,0.0124738315839
79000,35.8084154221,227.450352907,0.0124738315839
80000,45.4434087619,385.396572893,0.0124738315839
81000,47.3325713105,331.998474103,0.0124738315839
82000,58.5407240813,241.495931008,0.0124738315839
83000,36.6777412739,170.035277944,0.0124738315839
84000,42.3167218159,291.589082707,0.0124738315839
85000,44.5594594595,323.889544235,0.0124738315839
86000,34.5836922194,198.644625598,0.0124738315839
87000,33.3283399515,390.972010469,0.0124738315839
88000,37.8976483514,216.055483455,0.0124738315839
89000,45.6047661052,356.278897359,0.0124738315839
90000,56.1830985422,350.065590395,0.0124738315839
91000,45.268126821,263.251329612,0.0124738315839
92000,41.2308028528,331.422722024,0.0124738315839
93000,40.7710158005,303.868774394,0.0124738315839
94000,44.227180149,242.452552595,0.0124738315839
95000,55.9754258463,197.141977348,0.0124738315839
96000,41.4102273527,570.460463459,0.0124738315839
97000,56.0033285542,279.792662988,0.0124738315839
98000,65.6316704686,215.610836948,0.0124738315839
99000,38.3742155736,356.456171633,0.0124738315839
100000,31.2219632665,400.732628167,0.0124738315839
101000,39.7200469717,204.859478642,0.0124738315839
102000,38.149039105,290.97068456,0.0124738315839
103000,38.0846563028,293.859228144,0.0124738315839
104000,61.0471708405,215.408441981,0.0124738315839
105000,52.0964663302,373.460387001,0.0124738315839
106000,51.0263354403,465.539509998,0.0124738315839
107000,30.1654601961,309.307899797,0.0124738315839
108000,35.2746331071,253.781370473,0.0124738315839
109000,46.9535544652,341.304794988,0.0124738315839
110000,52.8772593544,280.326281794,0.0124738315839
111000,51.586467452,369.763768954,0.0124738315839
112000,64.7721839816,183.106476278,0.0124738315839
113000,29.4781740684,233.300886755,0.0124738315839
114000,32.0476711576,277.862863944,0.0124738315839
115000,39.0938038236,245.010572699,0.0124738315839
116000,44.3725985337,204.371626325,0.0124738315839
117000,43.1710558443,226.067968173,0.0124738315839
118000,34.1844590127,300.038292928,0.0124738315839
119000,27.4363467487,268.22222522,0.0124738315839
120000,31.8015359598,284.437693329,0.0124738315839
121000,35.7788432222,220.898004356,0.0124738315839
122000,59.5461273861,205.190910619,0.0124738315839
123000,50.3322094676,352.342250658,0.0124738315839
124000,50.1272430285,356.878902073,0.0124738315839
125000,32.0305765784,297.266203454,0.0124738315839
126000,34.4796301026,166.585216966,0.0124738315839
127000,36.6264512735,275.579929961,0.0124738315839
128000,41.5571213408,188.624830596,0.0124738315839
129000,38.0732154835,161.091827443,0.0124738315839
130000,33.5269174004,286.372799668,0.0124738315839
131000,31.9631979085,281.335843771,0.0124738315839
132000,49.986732898,252.011421081,0.0124738315839
133000,61.3406160024,327.740642142,0.0124738315839
134000,46.3205827864,312.712799809,0.0124738315839
135000,53.5118941212,312.225420215,0.0124738315839
136000,33.7346337739,375.089942201,0.0124738315839
137000,51.3874066746,245.928182005,0.0124738315839
