#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,192.38227878,1118.0965923,0.0124738315839
2000,95.735810352,958.691831796,0.0124738315839
3000,47.1639426219,664.032687422,0.0124738315839
4000,70.0285247735,408.667477079,0.0124738315839
5000,50.6583091266,355.651713752,0.0124738315839
6000,52.8272441428,280.655958404,0.0124738315839
7000,37.9051458991,376.727828533,0.0124738315839
8000,44.8502091838,272.930003483,0.0124738315839
9000,42.8405696256,353.890497984,0.0124738315839
10000,43.3492736128,323.031320081,0.0124738315839
11000,40.0536624214,360.824292357,0.0124738315839
12000,42.6417425377,354.573176424,0.0124738315839
13000,33.524526734,286.458206275,0.0124738315839
14000,46.7417978829,329.562921523,0.0124738315839
15000,34.6292060915,353.585787049,0.0124738315839
16000,46.5394080345,362.868454992,0.0124738315839
17000,43.0309171927,308.04052475,0.0124738315839
18000,59.3329374774,248.405352277,0.0124738315839
19000,42.6192139154,391.488768339,0.0124738315839
20000,37.0206992801,371.178279681,0.0124738315839
21000,69.5216816932,359.601936549,0.0124738315839
22000,39.6977762175,206.866150564,0.0124738315839
23000,42.353904163,277.945523106,0.0124738315839
24000,25.2169608813,277.868363893,0.0124738315839
25000,36.1724909818,156.218252944,0.0124738315839
26000,35.769848483,183.217767762,0.0124738315839
27000,40.680254233,314.476391096,0.0124738315839
28000,31.4375583792,221.014348473,0.0124738315839
29000,48.3687383291,217.51785597,0.0124738315839
30000,32.2018649983,246.349095292,0.0124738315839
31000,39.2446581672,145.50171986,0.0124738315839
32000,34.8220599748,174.300677606,0.0124738315839
33000,38.1969414425,301.516686162,0.0124738315839
34000,63.8518942666,218.487878521,0.0124738315839
35000,42.3037955859,330.265334674,0.0124738315839
36000,44.1639461183,399.736602779,0.0124738315839
37000,36.2829277039,388.441681651,0.0124738315839
38000,59.1067251303,340.262095914,0.0124738315839
39000,52.0258675643,276.689506697,0.0124738315839
40000,56.279924213,242.795871026,0.0124738315839
41000,52.5407730579,239.547361668,0.0124738315839
42000,47.5945960846,257.938566279,0.0124738315839
43000,35.3633326435,321.799759299,0.0124738315839
44000,35.0741173049,316.806945635,0.0124738315839
45000,51.4893018732,337.756225056,0.0124738315839
46000,55.9027420253,266.091280223,0.0124738315839
47000,28.8107268838,404.699782459,0.0124738315839
48000,43.8245510416,401.285655963,0.0124738315839
49000,30.7685460881,312.201537094,0.0124738315839
50000,60.3254012298,195.576645912,0.0124738315839
51000,35.1811153016,246.930503021,0.0124738315839
52000,46.8513359329,238.890743293,0.0124738315839
53000,63.0830837623,254.764123332,0.0124738315839
54000,58.4760134885,300.430174473,0.0124738315839
55000,45.7879167558,190.00850744,0.0124738315839
56000,46.5406112744,256.246341046,0.0124738315839
57000,44.7071684275,407.355520811,0.0124738315839
58000,53.3445577714,216.479547434,0.0124738315839
59000,44.0331218533,438.709932082,0.0124738315839
60000,40.8046636799,317.812992086,0.0124738315839
61000,70.704044793,225.77585413,0.0124738315839
62000,43.4632167496,346.325245372,0.0124738315839
63000,55.7575618727,282.006583494,0.0124738315839
64000,44.1998112992,369.071682763,0.0124738315839
65000,56.8171419331,281.988188034,0.0124738315839
66000,51.982245423,197.734457394,0.0124738315839
67000,35.9568040472,373.551460442,0.0124738315839
68000,54.3576482456,325.999766574,0.0124738315839
69000,37.6545864876,275.258349984,0.0124738315839
70000,39.4252436783,262.968397132,0.0124738315839
71000,48.1391577222,309.619350679,0.0124738315839
72000,46.0636419145,339.397831607,0.0124738315839
