#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,143.247824034,1311.22504716,0.0124738315839
2000,89.1941586215,551.48686015,0.0124738315839
3000,69.5644032385,482.141255843,0.0124738315839
4000,47.5968422931,461.134076469,0.0124738315839
5000,43.4783624612,442.802725455,0.0124738315839
6000,38.6207575136,373.41186271,0.0124738315839
7000,29.6289925496,279.766883519,0.0124738315839
8000,35.0027750608,313.686267492,0.0124738315839
9000,44.6634514566,277.904819693,0.0124738315839
10000,43.5348060111,183.441846974,0.0124738315839
11000,39.4471917521,197.513211936,0.0124738315839
12000,41.2191029373,398.780032209,0.0124738315839
13000,71.5573900157,192.426316993,0.0124738315839
14000,34.5395548054,281.408911183,0.0124738315839
15000,38.8262142601,458.606222773,0.0124738315839
16000,67.5006558876,195.070109642,0.0124738315839
17000,47.213136524,319.516846623,0.0124738315839
18000,34.6981803519,379.052686758,0.0124738315839
19000,38.6262338581,256.855331333,0.0124738315839
20000,36.9509664551,335.9191363,0.0124738315839
21000,29.5814641808,232.801741005,0.0124738315839
22000,43.2513909921,209.60189509,0.0124738315839
23000,47.7080714601,274.880502245,0.0124738315839
24000,44.8413932655,273.972718977,0.0124738315839
25000,26.0364980451,427.528746266,0.0124738315839
26000,47.1094236305,371.880706816,0.0124738315839
27000,42.9027858494,336.130399218,0.0124738315839
28000,78.316784753,183.948475159,0.0124738315839
29000,66.5402918279,382.422898061,0.0124738315839
30000,40.7871405206,343.685274036,0.0124738315839
31000,33.8927843232,233.668074861,0.0124738315839
32000,44.2631054488,335.269107251,0.0124738315839
33000,38.596069903,272.424946071,0.0124738315839
34000,36.4463377936,241.467660286,0.0124738315839
35000,40.706853041,326.978137988,0.0124738315839
36000,50.2918459509,195.986379692,0.0124738315839
37000,36.084578065,310.538463974,0.0124738315839
38000,49.1343013084,249.327119505,0.0124738315839
39000,35.7056534096,276.823961566,0.0124738315839
40000,46.6410759926,228.422201229,0.0124738315839
41000,41.494261298,283.926606178,0.0124738315839
42000,27.6508162466,299.909563405,0.0124738315839
43000,34.7292704162,279.941700908,0.0124738315839
44000,41.598133213,261.30571167,0.0124738315839
45000,46.2672695278,390.340387827,0.0124738315839
46000,30.4638604613,313.443705879,0.0124738315839
47000,41.4439561476,256.970965745,0.0124738315839
48000,37.281304956,278.685064284,0.0124738315839
49000,49.1334576352,256.804461711,0.0124738315839
50000,52.4718441488,355.271232851,0.0124738315839
51000,46.4156522962,285.984788526,0.0124738315839
52000,42.0089195383,326.1401338,0.0124738315839
53000,29.5088422205,297.86623228,0.0124738315839
54000,36.0418123015,250.213855393,0.0124738315839
55000,45.2879309095,348.539208686,0.0124738315839
56000,29.7313268614,191.533992551,0.0124738315839
57000,34.9427607951,224.476091874,0.0124738315839
58000,41.5174540944,306.541428017,0.0124738315839
59000,32.487602545,313.1467579,0.0124738315839
60000,44.4935440751,319.655040781,0.0124738315839
61000,66.8012266066,296.955702981,0.0124738315839
62000,51.7517378648,304.652482824,0.0124738315839
63000,29.1368891468,298.149004845,0.0124738315839
64000,27.1033621755,306.31602857,0.0124738315839
65000,51.6167064681,294.538379993,0.0124738315839
66000,51.4598617811,405.3358968,0.0124738315839
67000,56.640822759,298.33320441,0.0124738315839
68000,35.6376228538,264.021217234,0.0124738315839
69000,36.8614238765,326.699260203,0.0124738315839
70000,50.2127835766,227.788165831,0.0124738315839
71000,41.1881268963,294.171269222,0.0124738315839
72000,29.5935848869,360.364796386,0.0124738315839
73000,40.031202455,435.673599573,0.0124738315839
74000,50.8973679244,499.901825853,0.0124738315839
75000,58.5251756652,472.613015685,0.0124738315839
76000,64.6698760459,363.094613892,0.0124738315839
77000,53.8108075873,399.866250949,0.0124738315839
78000,61.3486158664,349.737407808,0.0124738315839
79000,50.0050011778,258.245824888,0.0124738315839
80000,40.0084431159,457.978204567,0.0124738315839
81000,41.6019734952,128.76109115,0.0124738315839
82000,39.9280970253,268.94102729,0.0124738315839
83000,50.5740964896,294.900402966,0.0124738315839
84000,44.1354458291,378.919164313,0.0124738315839
85000,54.4011522389,505.920406765,0.0124738315839
86000,60.6505381845,350.447118383,0.0124738315839
87000,39.0909104993,312.350997938,0.0124738315839
88000,21.3716170087,266.677868467,0.0124738315839
89000,37.34566551,352.313102777,0.0124738315839
90000,32.2122537589,345.000706072,0.0124738315839
91000,53.7404919258,161.929201843,0.0124738315839
92000,34.5081059097,342.735200013,0.0124738315839
93000,48.9928068081,379.627426113,0.0124738315839
94000,30.2697175494,298.688499014,0.0124738315839
95000,41.692304988,210.919461121,0.0124738315839
96000,41.6580664501,211.369714182,0.0124738315839
97000,39.361054247,318.07557125,0.0124738315839
98000,44.521995994,251.41301541,0.0124738315839
99000,22.7268783608,398.163112041,0.0124738315839
100000,55.8790804805,210.477725124,0.0124738315839
101000,31.7702993679,344.520700422,0.0124738315839
102000,51.3137406245,240.625104166,0.0124738315839
103000,55.2494998757,297.221499744,0.0124738315839
104000,41.9380746327,321.765164916,0.0124738315839
105000,35.6217387147,315.956368938,0.0124738315839
106000,53.0754636572,216.000831155,0.0124738315839
107000,29.645625439,354.597694105,0.0124738315839
108000,46.5118745898,335.128483326,0.0124738315839
109000,37.217777397,320.941404085,0.0124738315839
110000,44.8918116033,204.90947811,0.0124738315839
111000,36.8798600861,364.66231778,0.0124738315839
112000,42.7193075108,358.608153454,0.0124738315839
113000,32.873215654,229.278850228,0.0124738315839
114000,37.1656151148,216.973517371,0.0124738315839
115000,47.3855788622,271.328438261,0.0124738315839
116000,46.3209883876,370.215508177,0.0124738315839
117000,36.2217439937,284.560578955,0.0124738315839
118000,29.9478770921,241.723465499,0.0124738315839
119000,31.0768576906,233.17318168,0.0124738315839
120000,30.6775051407,327.384670538,0.0124738315839
121000,38.0247383844,185.753289994,0.0124738315839
122000,37.8536319737,134.462309248,0.0124738315839
123000,30.3673587975,361.775828934,0.0124738315839
124000,45.9266178182,311.564370059,0.0124738315839
125000,49.3175206365,274.807603922,0.0124738315839
