#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,144.731082045,1271.54024227,0.0124738315839
2000,127.966367885,498.804279217,0.0124738315839
3000,59.836098008,399.078759628,0.0124738315839
4000,47.8490886257,243.770687013,0.0124738315839
5000,49.8566387969,174.078205554,0.0124738315839
6000,36.4058406088,240.493458669,0.0124738315839
7000,48.0102402927,139.793123133,0.0124738315839
8000,44.8269241904,364.970423743,0.0124738315839
9000,48.8466807135,358.245438994,0.0124738315839
10000,47.9879028044,446.343880222,0.0124738315839
11000,60.3795891253,310.476481107,0.0124738315839
12000,39.029621891,447.006725244,0.0124738315839
13000,53.4483568169,267.794930287,0.0124738315839
14000,49.6039110575,302.139032038,0.0124738315839
15000,40.270646881,221.164772733,0.0124738315839
16000,56.7301319589,469.199805708,0.0124738315839
17000,30.4709439447,449.126968292,0.0124738315839
18000,54.5820839491,408.093784198,0.0124738315839
19000,42.2198352439,257.835845309,0.0124738315839
20000,37.2943145756,452.432895476,0.0124738315839
21000,41.0908321647,293.378291074,0.0124738315839
22000,53.3977069268,408.188153348,0.0124738315839
23000,50.6540553589,273.345252525,0.0124738315839
24000,59.7072512612,332.591874391,0.0124738315839
25000,58.4923811387,287.218704874,0.0124738315839
26000,46.9616910357,375.857637729,0.0124738315839
27000,54.6223251,275.548781679,0.0124738315839
28000,53.779167314,425.327541149,0.0124738315839
29000,52.5182150136,379.644764457,0.0124738315839
30000,49.4652564115,287.740606691,0.0124738315839
31000,67.6282656715,318.173210915,0.0124738315839
32000,46.4467398006,442.198459002,0.0124738315839
33000,53.4041773682,243.131908873,0.0124738315839
34000,49.2484731442,268.377022706,0.0124738315839
35000,34.9589207429,316.366477152,0.0124738315839
36000,42.3538906477,327.571899726,0.0124738315839
37000,48.2347353551,226.190984454,0.0124738315839
38000,44.473969328,250.831667083,0.0124738315839
39000,67.3691003434,297.374127456,0.0124738315839
40000,47.2521538394,385.696325386,0.0124738315839
41000,62.7445318175,377.676338785,0.0124738315839
42000,43.261856796,260.249157894,0.0124738315839
43000,39.0071618327,264.578894705,0.0124738315839
44000,37.1389864788,364.920148964,0.0124738315839
45000,51.9667149712,317.727661038,0.0124738315839
46000,51.8154811716,206.941328662,0.0124738315839
47000,54.5977315185,170.792025099,0.0124738315839
48000,30.0661928145,279.369291987,0.0124738315839
49000,29.2793563366,308.363385481,0.0124738315839
50000,40.8226616358,206.279163386,0.0124738315839
51000,38.7726948075,386.482684015,0.0124738315839
52000,41.7618869116,305.089780581,0.0124738315839
53000,45.4385468238,325.602867516,0.0124738315839
54000,53.431371177,309.746106851,0.0124738315839
55000,54.6138786235,296.474943643,0.0124738315839
56000,39.5622907008,468.366709597,0.0124738315839
57000,37.6465578828,288.880491457,0.0124738315839
58000,45.4718987527,263.713200414,0.0124738315839
59000,46.9608059734,235.600358337,0.0124738315839
60000,46.7636512238,239.651480907,0.0124738315839
61000,46.0390367886,218.828682429,0.0124738315839
62000,48.5176228372,439.501889268,0.0124738315839
63000,56.1227581485,319.736772811,0.0124738315839
64000,42.5202810966,406.878018276,0.0124738315839
65000,60.5886495508,389.598751278,0.0124738315839
66000,62.6150154658,287.202744973,0.0124738315839
67000,36.0453470459,248.702969919,0.0124738315839
68000,41.2825105365,388.321701974,0.0124738315839
69000,67.4879317759,274.425654396,0.0124738315839
70000,36.4273564701,346.186744708,0.0124738315839
71000,53.4871657452,288.030832914,0.0124738315839
72000,30.8150784101,229.826344119,0.0124738315839
73000,30.9827958627,280.62773218,0.0124738315839
74000,36.1715993415,226.072156595,0.0124738315839
75000,41.4699154803,345.449593154,0.0124738315839
76000,42.854418584,328.456961998,0.0124738315839
77000,54.1987176666,256.57620289,0.0124738315839
78000,44.1525145827,226.214012108,0.0124738315839
79000,35.538189581,190.40025207,0.0124738315839
80000,32.3693915962,315.78536646,0.0124738315839
81000,44.0632601429,297.498853424,0.0124738315839
82000,29.6656114218,308.998796464,0.0124738315839
83000,27.7331779218,219.27291748,0.0124738315839
84000,42.3690683987,250.615916792,0.0124738315839
85000,36.3144524502,300.285020937,0.0124738315839
86000,52.4288357594,237.838109622,0.0124738315839
87000,44.3823381183,219.116404718,0.0124738315839
88000,39.2497631518,297.032644025,0.0124738315839
89000,30.5952330162,225.330583212,0.0124738315839
90000,38.0682078902,387.484318745,0.0124738315839
91000,34.2387216811,274.175980247,0.0124738315839
92000,36.9604212619,373.050280608,0.0124738315839
93000,57.0564681741,318.055369331,0.0124738315839
94000,53.354509348,328.101782313,0.0124738315839
95000,39.1816810353,301.923163591,0.0124738315839
96000,45.1195716448,347.370980623,0.0124738315839
97000,43.8890719502,362.033125468,0.0124738315839
98000,45.6073589591,333.471992047,0.0124738315839
99000,38.3702998256,340.537736082,0.0124738315839
100000,43.9415086953,344.799965187,0.0124738315839
101000,51.1625281124,340.53192148,0.0124738315839
102000,54.8496113639,332.194908695,0.0124738315839
103000,49.1588977616,377.858159329,0.0124738315839
104000,65.5372013543,254.246449243,0.0124738315839
105000,47.2444812369,456.893165556,0.0124738315839
106000,37.0055067805,404.213675067,0.0124738315839
107000,40.2677662787,244.763325369,0.0124738315839
108000,34.7501843752,295.355417884,0.0124738315839
109000,29.5422548905,347.110399005,0.0124738315839
110000,42.5697108861,369.348331551,0.0124738315839
111000,18.6484861167,331.052469631,0.0124738315839
112000,45.4637848407,322.817628048,0.0124738315839
113000,57.5347603261,333.452360726,0.0124738315839
114000,43.542393569,406.002879972,0.0124738315839
115000,40.0528564967,338.331870696,0.0124738315839
116000,53.5739681719,345.987495601,0.0124738315839
117000,57.9108976611,368.794415186,0.0124738315839
118000,44.7516255133,330.573735831,0.0124738315839
119000,40.5900971781,230.841110876,0.0124738315839
120000,36.0406209467,372.881601134,0.0124738315839
121000,41.9700214264,250.926774905,0.0124738315839
122000,47.5774092369,297.744197735,0.0124738315839
123000,37.6292536561,278.052566896,0.0124738315839
124000,45.5247155248,342.98370614,0.0124738315839
125000,51.5806245727,260.990107405,0.0124738315839
126000,45.7899228046,275.326919556,0.0124738315839
127000,54.1931910354,323.623941567,0.0124738315839
