#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,153.213946184,2060.51472913,0.0124738315839
2000,133.461587237,847.141837424,0.0124738315839
3000,100.458310529,709.114041306,0.0124738315839
4000,50.6015582481,425.023275142,0.0124738315839
5000,31.6190900391,460.78960355,0.0124738315839
6000,38.3257520901,373.877415697,0.0124738315839
7000,78.5683571081,318.211730113,0.0124738315839
8000,39.7684559312,461.781979545,0.0124738315839
9000,43.2581349003,308.033194988,0.0124738315839
10000,32.2228777867,215.619223817,0.0124738315839
11000,29.344552464,182.636079286,0.0124738315839
12000,28.1882414135,242.362739443,0.0124738315839
13000,33.1684092017,164.55311979,0.0124738315839
14000,24.1331050076,207.342700469,0.0124738315839
15000,38.3655942896,186.444745465,0.0124738315839
16000,45.3591608685,316.354490815,0.0124738315839
17000,43.8348340065,338.730136341,0.0124738315839
18000,52.1011031649,232.601048138,0.0124738315839
19000,45.3969966551,250.376510194,0.0124738315839
20000,39.9426286845,220.087390256,0.0124738315839
21000,47.6659128543,205.792250112,0.0124738315839
22000,46.5141812119,215.199555576,0.0124738315839
23000,50.0647411456,339.062266966,0.0124738315839
24000,47.8030664581,187.406274493,0.0124738315839
25000,52.1817761058,227.333915231,0.0124738315839
26000,48.5548960384,332.038168836,0.0124738315839
27000,42.7215869958,396.891924205,0.0124738315839
28000,36.4588591076,375.552208738,0.0124738315839
29000,56.2060226553,309.864588717,0.0124738315839
30000,45.4967906591,325.548313826,0.0124738315839
31000,41.3989439732,217.268519246,0.0124738315839
32000,38.4144332249,247.583043312,0.0124738315839
33000,45.671575574,287.485480333,0.0124738315839
34000,56.3559772414,238.34464237,0.0124738315839
35000,51.0903108985,319.194299955,0.0124738315839
36000,47.2984872671,360.292088506,0.0124738315839
37000,37.4881234089,328.306844855,0.0124738315839
38000,41.0728151314,303.087253375,0.0124738315839
39000,38.1874230015,243.681140685,0.0124738315839
40000,41.4274067473,311.606737809,0.0124738315839
41000,38.2475255446,359.295412358,0.0124738315839
42000,37.5004458101,227.916554855,0.0124738315839
43000,43.9091350092,270.923685279,0.0124738315839
44000,36.0393255573,215.301901656,0.0124738315839
45000,32.3753094302,215.698317678,0.0124738315839
46000,41.4669936298,223.866354123,0.0124738315839
47000,44.5894336016,380.252024115,0.0124738315839
48000,23.8601113412,277.646508959,0.0124738315839
49000,33.4183131118,298.670163005,0.0124738315839
50000,35.8443246251,267.808031879,0.0124738315839
51000,46.7016635223,277.461109447,0.0124738315839
52000,53.6040169904,255.866593686,0.0124738315839
53000,48.2755832202,257.552557205,0.0124738315839
54000,34.238738932,359.193111597,0.0124738315839
55000,47.3993476393,270.042953904,0.0124738315839
56000,48.0381273016,325.564079085,0.0124738315839
57000,50.0607199945,248.94322365,0.0124738315839
58000,47.9387076635,157.751660266,0.0124738315839
