#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,334.963827204,2500.89591233,0.0124738315839
2000,202.541242924,1215.53543867,0.0124738315839
3000,78.4104826502,979.1089177,0.0124738315839
4000,80.2983001832,601.377056376,0.0124738315839
5000,42.0954597575,445.996860412,0.0124738315839
6000,42.3162836284,343.268200976,0.0124738315839
7000,22.7219079538,389.238928734,0.0124738315839
8000,29.903905375,264.684275839,0.0124738315839
9000,41.9181413884,273.19492536,0.0124738315839
10000,30.650247657,470.966948324,0.0124738315839
11000,47.0739687233,333.573554695,0.0124738315839
12000,28.9316122053,467.972724875,0.0124738315839
13000,30.7317348862,356.91478608,0.0124738315839
14000,35.1633188326,347.742409775,0.0124738315839
15000,50.7419535638,228.650773265,0.0124738315839
16000,35.1029825954,363.328349499,0.0124738315839
17000,36.6117197088,304.99223688,0.0124738315839
18000,30.4968372852,221.875167681,0.0124738315839
19000,21.933903063,227.289726627,0.0124738315839
20000,22.5934393934,295.310627427,0.0124738315839
21000,42.0725640281,231.77609524,0.0124738315839
22000,57.715145995,262.668922208,0.0124738315839
23000,56.1694633046,218.98161945,0.0124738315839
24000,47.3846266581,208.457113338,0.0124738315839
25000,42.1153742404,224.445084157,0.0124738315839
26000,23.8246292017,180.812351671,0.0124738315839
27000,25.296630583,292.618070744,0.0124738315839
28000,32.604278391,358.172347246,0.0124738315839
29000,22.2781994821,287.240392666,0.0124738315839
30000,23.9599671278,257.896527763,0.0124738315839
31000,35.2250152946,229.82606774,0.0124738315839
32000,37.1336739285,336.680309098,0.0124738315839
33000,46.0560271184,339.555706732,0.0124738315839
34000,30.714550771,305.734717258,0.0124738315839
35000,24.616435097,316.99381079,0.0124738315839
36000,33.4494845842,229.980901546,0.0124738315839
37000,23.1996560325,262.36972773,0.0124738315839
38000,48.9205351012,252.419456859,0.0124738315839
39000,25.213168976,252.71485765,0.0124738315839
40000,30.6169614538,387.648737018,0.0124738315839
41000,24.5966929772,239.865364329,0.0124738315839
42000,21.7158037397,290.238755201,0.0124738315839
43000,24.7071631504,232.850060538,0.0124738315839
44000,27.4376159548,257.040930582,0.0124738315839
45000,36.6215692305,181.506679947,0.0124738315839
46000,34.2533444849,161.785229592,0.0124738315839
47000,34.9349367842,273.158518302,0.0124738315839
48000,26.5908565909,265.451086074,0.0124738315839
49000,37.0393842234,205.282974672,0.0124738315839
50000,42.527228501,366.203713622,0.0124738315839
51000,36.3006566726,356.265498566,0.0124738315839
52000,41.3307957154,357.081831422,0.0124738315839
53000,58.1802570511,411.485536431,0.0124738315839
54000,33.1649457783,297.304499064,0.0124738315839
55000,25.9459420255,366.911759787,0.0124738315839
56000,18.5647261319,257.974276531,0.0124738315839
57000,32.249542187,278.162968516,0.0124738315839
