#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,41.5028122784,232.066042351,0.0124738315839
2000,30.0342633372,446.591672001,0.0124738315839
3000,44.1243275488,158.832230086,0.0124738315839
4000,36.2789595303,220.798591401,0.0124738315839
5000,38.883525715,220.585791921,0.0124738315839
6000,42.7956022519,327.401109429,0.0124738315839
7000,40.4442328382,142.73416051,0.0124738315839
8000,37.7621568332,252.518281498,0.0124738315839
9000,39.033080047,196.421239869,0.0124738315839
10000,55.1088309036,258.718124064,0.0124738315839
11000,29.2579506958,266.723577237,0.0124738315839
12000,37.7327623059,189.759119606,0.0124738315839
13000,23.1542467869,284.061319807,0.0124738315839
14000,30.7414582547,199.326045802,0.0124738315839
15000,34.0274971342,172.768482631,0.0124738315839
16000,15.6992605415,378.190722767,0.0124738315839
17000,31.4853369102,348.438978898,0.0124738315839
18000,44.4134002881,285.8954435,0.0124738315839
19000,28.5110830853,477.534271142,0.0124738315839
20000,32.2670968059,367.984711673,0.0124738315839
21000,32.2933310151,174.301671481,0.0124738315839
22000,40.0282000782,336.427364348,0.0124738315839
23000,38.0883817206,286.832178433,0.0124738315839
24000,58.1361658051,328.153111625,0.0124738315839
25000,61.4567906819,344.540070593,0.0124738315839
26000,47.4905371596,373.894243903,0.0124738315839
27000,42.2830658691,309.794046764,0.0124738315839
28000,31.6203016741,215.745947918,0.0124738315839
29000,31.0746542104,284.962883256,0.0124738315839
30000,29.9769212719,247.914847113,0.0124738315839
31000,28.1246271984,213.385566376,0.0124738315839
32000,35.4112670041,337.731597895,0.0124738315839
33000,32.3122841742,282.336177426,0.0124738315839
34000,30.031882721,392.04300147,0.0124738315839
35000,37.3503894645,291.591293082,0.0124738315839
36000,30.1818340259,311.649964696,0.0124738315839
37000,28.7862990961,347.653105629,0.0124738315839
38000,43.7872077074,343.584961688,0.0124738315839
39000,28.1890963583,347.389539769,0.0124738315839
40000,37.659473096,173.822257023,0.0124738315839
41000,24.8788414328,287.152892042,0.0124738315839
42000,24.1476213027,169.173824536,0.0124738315839
43000,24.8738362948,216.20743137,0.0124738315839
44000,25.7636408946,336.199218936,0.0124738315839
45000,31.6511686759,466.824133505,0.0124738315839
46000,41.6562141749,256.891471635,0.0124738315839
47000,32.596965161,271.765001261,0.0124738315839
48000,44.9919512926,363.376268094,0.0124738315839
49000,43.7975067985,259.345072371,0.0124738315839
50000,31.4058974768,438.934837873,0.0124738315839
51000,37.2181410469,279.424216735,0.0124738315839
52000,49.6259989323,269.753573512,0.0124738315839
53000,41.0507816173,393.458972797,0.0124738315839
54000,34.0323802115,315.664347979,0.0124738315839
55000,46.9013402434,298.577009256,0.0124738315839
56000,37.2546780885,218.011522555,0.0124738315839
