#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,221.25556801,2213.13069615,0.0124738315839
2000,108.713817061,1114.81059358,0.0124738315839
3000,74.4858440481,850.611291787,0.0124738315839
4000,65.8534035781,503.724201066,0.0124738315839
5000,47.4678438981,378.698415812,0.0124738315839
6000,32.0667161018,163.999276225,0.0124738315839
7000,45.8292299554,310.947413572,0.0124738315839
8000,31.8344591028,305.347479707,0.0124738315839
9000,34.6040554939,305.192908681,0.0124738315839
10000,18.9163532412,347.866152615,0.0124738315839
11000,33.7123096403,231.224102927,0.0124738315839
12000,31.3096212512,284.726870225,0.0124738315839
13000,27.5095384982,352.869136942,0.0124738315839
14000,44.2418936641,305.607387769,0.0124738315839
15000,22.1987175116,458.158551098,0.0124738315839
16000,31.0508317433,340.353421323,0.0124738315839
17000,49.1359026941,397.84636684,0.0124738315839
18000,40.000785534,192.951032599,0.0124738315839
19000,33.6064498838,275.363086225,0.0124738315839
20000,16.4272094874,227.390967776,0.0124738315839
21000,25.2331836594,154.287463694,0.0124738315839
22000,59.1263286068,314.296072567,0.0124738315839
23000,54.9587755109,440.15550348,0.0124738315839
24000,67.8318785874,280.382027391,0.0124738315839
25000,28.6466594932,358.41295409,0.0124738315839
26000,43.2735926132,261.33493862,0.0124738315839
27000,28.8493451082,338.764038905,0.0124738315839
28000,30.1054538254,482.076796467,0.0124738315839
29000,32.6611142654,290.379465958,0.0124738315839
30000,27.5229713703,302.245792348,0.0124738315839
31000,44.7271091268,374.802558444,0.0124738315839
32000,32.0226151927,240.349370216,0.0124738315839
33000,43.8809201726,421.794910357,0.0124738315839
34000,36.7101819383,255.891524252,0.0124738315839
35000,28.6781253718,269.352800883,0.0124738315839
36000,35.4409158628,252.147413173,0.0124738315839
37000,38.5349814878,280.893696479,0.0124738315839
38000,33.9345482699,344.260688521,0.0124738315839
39000,43.5742290917,235.694611774,0.0124738315839
40000,36.8662646244,379.688988453,0.0124738315839
41000,39.7474679391,399.995884313,0.0124738315839
42000,62.7414539829,434.305819657,0.0124738315839
43000,35.2165678282,369.11093932,0.0124738315839
44000,39.3428761884,279.775439462,0.0124738315839
45000,28.3963486158,232.304483865,0.0124738315839
46000,33.1283459946,331.447455378,0.0124738315839
47000,33.0721808452,288.140257821,0.0124738315839
48000,27.6920386249,386.579151876,0.0124738315839
49000,39.809098092,448.520106572,0.0124738315839
50000,40.0265680156,290.789079562,0.0124738315839
51000,46.289167442,280.734771237,0.0124738315839
52000,40.7512597241,233.541429418,0.0124738315839
53000,24.9570369044,392.416093796,0.0124738315839
54000,32.476715488,466.940340821,0.0124738315839
55000,40.910177013,669.355912665,0.0124738315839
56000,33.0471595116,533.663748983,0.0124738315839
57000,48.7626260107,418.005305147,0.0124738315839
58000,37.9514034548,366.664418802,0.0124738315839
59000,30.0626164169,283.731289318,0.0124738315839
60000,32.7619697316,335.426814847,0.0124738315839
61000,32.7901486372,327.130937407,0.0124738315839
62000,32.2442687586,261.38369799,0.0124738315839
63000,49.0143845081,321.738807689,0.0124738315839
64000,34.9786167566,434.270764871,0.0124738315839
65000,30.7636967954,290.463738051,0.0124738315839
66000,26.9708525962,509.25149245,0.0124738315839
67000,37.9361500939,327.942100839,0.0124738315839
68000,48.8495966187,122.281607076,0.0124738315839
69000,32.3804323139,265.995010044,0.0124738315839
70000,23.6143680258,372.455095967,0.0124738315839
71000,37.3676338322,388.997153391,0.0124738315839
72000,36.7862832242,420.015286174,0.0124738315839
73000,40.7216109619,341.325446764,0.0124738315839
74000,31.9035105327,281.495455466,0.0124738315839
75000,46.4930953118,301.809130717,0.0124738315839
76000,29.5731071793,363.185259037,0.0124738315839
77000,45.6782730409,251.446736124,0.0124738315839
78000,23.9331576562,347.784919124,0.0124738315839
79000,28.6732090096,372.455369197,0.0124738315839
80000,36.9901432198,203.531011377,0.0124738315839
81000,19.9388968311,283.422118348,0.0124738315839
82000,22.1108601976,251.909120688,0.0124738315839
83000,49.4738444477,301.984851684,0.0124738315839
84000,58.8001601914,486.789808107,0.0124738315839
85000,54.3147814676,327.638741826,0.0124738315839
86000,39.4837233088,340.689756352,0.0124738315839
87000,32.2583333796,402.305316774,0.0124738315839
88000,43.7036431282,310.344198615,0.0124738315839
89000,46.2201157367,186.225780811,0.0124738315839
90000,31.5939934812,275.115821657,0.0124738315839
91000,49.2919607934,360.65934279,0.0124738315839
92000,24.5506360028,408.769140599,0.0124738315839
93000,31.5093680083,329.253911758,0.0124738315839
94000,51.0323294495,367.551379403,0.0124738315839
95000,41.5732058959,312.776678418,0.0124738315839
96000,35.9802327032,202.133448334,0.0124738315839
97000,30.3198570506,185.92013587,0.0124738315839
98000,22.7593449929,296.664408611,0.0124738315839
99000,29.7857893366,213.394385163,0.0124738315839
100000,33.0211125827,135.336069389,0.0124738315839
101000,27.6650939532,191.744003868,0.0124738315839
102000,26.8834317042,302.924788426,0.0124738315839
103000,19.2121890265,242.929557313,0.0124738315839
104000,45.7202556884,257.843391586,0.0124738315839
105000,41.2796797312,346.256352984,0.0124738315839
106000,43.5315862686,364.060610463,0.0124738315839
107000,36.404249569,348.199594853,0.0124738315839
108000,50.4579127331,232.641306118,0.0124738315839
109000,31.7148483017,240.187184483,0.0124738315839
110000,49.4805973894,240.536221695,0.0124738315839
111000,22.104192833,457.152037255,0.0124738315839
112000,31.9653985456,490.288847762,0.0124738315839
113000,44.4027129054,534.277505461,0.0124738315839
114000,52.8596417291,212.657384247,0.0124738315839
115000,34.151151809,254.18797393,0.0124738315839
116000,35.7016280901,296.146024393,0.0124738315839
117000,33.8205279983,290.073390193,0.0124738315839
118000,40.7891569298,259.678237443,0.0124738315839
119000,42.3224130492,273.836138195,0.0124738315839
120000,30.4740337465,263.03403924,0.0124738315839
121000,39.7754196474,216.301358706,0.0124738315839
122000,13.099654483,209.343204318,0.0124738315839
123000,25.4192865261,166.74898454,0.0124738315839
124000,26.4052888947,288.40916706,0.0124738315839
125000,22.9193708072,399.084017201,0.0124738315839
126000,26.6573954927,209.45214928,0.0124738315839
127000,26.7410622745,243.404893647,0.0124738315839
128000,22.9427511205,221.437098122,0.0124738315839
129000,29.5211122886,242.370946136,0.0124738315839
130000,30.2912066341,304.41167303,0.0124738315839
131000,52.3067390444,334.903503935,0.0124738315839
132000,48.4398283675,266.702320912,0.0124738315839
133000,22.110789054,294.933133929,0.0124738315839
134000,12.9322343993,400.304835988,0.0124738315839
135000,38.7308569198,329.394173746,0.0124738315839
136000,36.5444010202,210.620205473,0.0124738315839
137000,18.1361796777,362.898226752,0.0124738315839
138000,28.2961925711,171.255189237,0.0124738315839
139000,34.3534062964,179.305061934,0.0124738315839
140000,47.5762760463,312.859219441,0.0124738315839
141000,40.0214102207,398.226634393,0.0124738315839
142000,49.0743643726,259.440370731,0.0124738315839
143000,35.478160678,254.352997161,0.0124738315839
144000,34.6050239383,387.279096407,0.0124738315839
145000,36.8639651743,373.63310715,0.0124738315839
146000,38.5478404007,234.791000858,0.0124738315839
147000,35.3668767344,357.730356565,0.0124738315839
148000,41.147855615,273.271506493,0.0124738315839
149000,44.2724891036,290.93430688,0.0124738315839
150000,23.4571597108,317.163784899,0.0124738315839
151000,50.4677439972,208.923368571,0.0124738315839
152000,56.0096402739,330.739112134,0.0124738315839
153000,35.5177992033,250.847586149,0.0124738315839
154000,24.033181406,318.606845714,0.0124738315839
155000,55.0247796696,350.891708676,0.0124738315839
156000,30.1696983716,427.74944186,0.0124738315839
157000,34.9035302752,380.738355244,0.0124738315839
158000,32.3589402087,188.876801242,0.0124738315839
159000,18.5540249852,248.971306827,0.0124738315839
160000,38.1550895777,219.371670388,0.0124738315839
161000,30.6934451949,238.55423576,0.0124738315839
162000,32.1483962258,348.290818747,0.0124738315839
163000,30.7682298207,333.812509698,0.0124738315839
164000,40.0111951625,307.217369091,0.0124738315839
165000,59.9494846948,305.013943075,0.0124738315839
166000,55.6284672901,365.360137419,0.0124738315839
167000,32.0205102659,346.213116698,0.0124738315839
168000,50.945546014,189.746691552,0.0124738315839
169000,33.8132641419,270.580747137,0.0124738315839
170000,40.9597738364,289.374428233,0.0124738315839
171000,37.2870796258,308.134741212,0.0124738315839
172000,36.2048997013,334.366451112,0.0124738315839
173000,42.4836593755,249.239178217,0.0124738315839
174000,33.9578512906,253.886602329,0.0124738315839
175000,38.6531622347,241.60938255,0.0124738315839
176000,35.1618697287,283.169992761,0.0124738315839
177000,49.1054832021,279.25438583,0.0124738315839
178000,41.8733071816,435.246308822,0.0124738315839
179000,33.6982684635,347.791875561,0.0124738315839
180000,38.1088152272,277.532890278,0.0124738315839
181000,28.7285349242,189.713555088,0.0124738315839
182000,40.9298845158,205.929619674,0.0124738315839
183000,37.4922772255,268.474959013,0.0124738315839
184000,43.1458829,251.425681801,0.0124738315839
185000,19.1158900942,293.203538225,0.0124738315839
186000,36.1568539077,368.460889966,0.0124738315839
187000,36.8113449263,307.23021887,0.0124738315839
188000,48.4199851806,318.061892302,0.0124738315839
189000,22.861909778,364.973417877,0.0124738315839
190000,40.8360755638,217.763372014,0.0124738315839
191000,45.8493655214,236.507835478,0.0124738315839
192000,42.8685640613,266.82783323,0.0124738315839
193000,43.8830331602,309.547190944,0.0124738315839
194000,47.8003626026,354.839118264,0.0124738315839
195000,42.1665403117,266.644312963,0.0124738315839
196000,29.620951576,489.528627121,0.0124738315839
197000,27.6783599419,425.465506839,0.0124738315839
198000,52.8048454586,356.37947212,0.0124738315839
199000,41.5356491558,225.718720109,0.0124738315839
200000,29.0614397794,300.565758612,0.0124738315839
201000,38.8288051361,272.958029236,0.0124738315839
202000,36.945773446,182.313914869,0.0124738315839
203000,37.3345777648,294.497861773,0.0124738315839
204000,36.5552568948,213.722276589,0.0124738315839
205000,57.4251003282,214.91418924,0.0124738315839
206000,49.7601963312,237.886135148,0.0124738315839
207000,33.8270860544,281.80941097,0.0124738315839
208000,34.3028043796,212.31304413,0.0124738315839
209000,43.6286286209,294.732897439,0.0124738315839
210000,25.4157103605,257.467687277,0.0124738315839
211000,34.3575080353,273.629179393,0.0124738315839
212000,24.2334671644,273.524469395,0.0124738315839
213000,27.7776210462,229.009624983,0.0124738315839
214000,41.0820132041,340.590935998,0.0124738315839
215000,36.8904716858,272.479883778,0.0124738315839
216000,28.4899505955,286.553630425,0.0124738315839
217000,33.2839411713,350.290100927,0.0124738315839
218000,43.7488102677,312.969771093,0.0124738315839
219000,36.2265055314,288.431923115,0.0124738315839
220000,28.1254514369,326.344996012,0.0124738315839
221000,34.4623241179,276.412629745,0.0124738315839
222000,20.1482099431,492.74304424,0.0124738315839
223000,54.9188205308,368.352217005,0.0124738315839
224000,39.0576918337,300.058223628,0.0124738315839
225000,38.1189911798,268.451960762,0.0124738315839
226000,37.0454082008,263.388389917,0.0124738315839
227000,18.30835316,276.710118395,0.0124738315839
228000,31.8813151544,266.287862821,0.0124738315839
229000,42.1335365263,242.190587773,0.0124738315839
230000,36.3592714422,403.386316854,0.0124738315839
231000,42.0577181336,330.230007216,0.0124738315839
232000,34.0603057402,439.435613011,0.0124738315839
233000,30.5088760685,343.626331071,0.0124738315839
234000,42.8854268979,253.586476531,0.0124738315839
235000,33.2299049224,207.382141519,0.0124738315839
236000,33.2383108329,312.062485991,0.0124738315839
237000,40.1255034783,250.524711215,0.0124738315839
238000,25.0428396373,262.661932456,0.0124738315839
239000,28.1831591267,374.516048504,0.0124738315839
240000,27.320703315,302.320680731,0.0124738315839
241000,38.9742603964,271.710436661,0.0124738315839
242000,48.4129741003,369.90861668,0.0124738315839
243000,25.9312558115,290.330287483,0.0124738315839
244000,25.0354963526,235.414059651,0.0124738315839
245000,25.2250502145,215.271197237,0.0124738315839
246000,20.510118944,261.131354702,0.0124738315839
247000,33.326723228,256.597438772,0.0124738315839
248000,35.2068714902,244.783198224,0.0124738315839
249000,38.2161817249,335.013077315,0.0124738315839
250000,42.908303179,327.581199728,0.0124738315839
251000,42.8164468751,309.838026975,0.0124738315839
252000,18.623359688,396.654094921,0.0124738315839
253000,43.7624183821,280.065643603,0.0124738315839
254000,37.417563147,317.752753738,0.0124738315839
255000,28.4497444667,254.017272317,0.0124738315839
256000,45.3040977138,231.535892212,0.0124738315839
257000,33.0110121798,330.025843077,0.0124738315839
258000,44.6003874898,328.605113508,0.0124738315839
259000,48.7862307003,264.693678883,0.0124738315839
260000,23.6742559068,335.352440884,0.0124738315839
261000,41.8747392281,216.115159036,0.0124738315839
262000,46.3902944587,346.988468155,0.0124738315839
263000,42.5486210738,305.746877673,0.0124738315839
264000,26.397802256,348.770001346,0.0124738315839
265000,34.4646188451,379.432981013,0.0124738315839
266000,25.5711828767,315.26792996,0.0124738315839
267000,26.22413046,231.059903999,0.0124738315839
268000,24.3636050886,182.102011794,0.0124738315839
269000,30.7768777206,326.156372448,0.0124738315839
270000,35.8026016779,328.405311016,0.0124738315839
271000,28.6881133367,373.151293292,0.0124738315839
272000,28.7334409998,206.600065029,0.0124738315839
273000,40.3183838707,290.206947459,0.0124738315839
274000,31.3620908805,277.308250034,0.0124738315839
275000,27.4683186477,364.295377634,0.0124738315839
276000,32.9408352067,248.867671571,0.0124738315839
277000,54.749140721,371.255354472,0.0124738315839
278000,56.3695360897,370.591949645,0.0124738315839
279000,38.0561141446,418.579521338,0.0124738315839
280000,50.0540871077,330.848992597,0.0124738315839
281000,30.1929034865,218.455470152,0.0124738315839
282000,17.3866086114,220.522149886,0.0124738315839
283000,25.6515898258,284.927134928,0.0124738315839
284000,33.2737024161,333.898561838,0.0124738315839
285000,32.3056452796,291.773830396,0.0124738315839
286000,37.5946958233,159.068847797,0.0124738315839
287000,27.1061894124,256.354437948,0.0124738315839
288000,58.7238260272,283.412539105,0.0124738315839
289000,28.0064798899,267.778231116,0.0124738315839
290000,21.056721799,298.855541803,0.0124738315839
291000,42.019429852,255.593121065,0.0124738315839
292000,38.3921402365,231.623199295,0.0124738315839
293000,37.4732697529,320.306062707,0.0124738315839
294000,49.5668669104,293.613920556,0.0124738315839
295000,51.8546145491,307.169888353,0.0124738315839
296000,31.7856769079,445.696467558,0.0124738315839
297000,43.1489224757,306.847090617,0.0124738315839
298000,47.763797262,310.184722227,0.0124738315839
299000,39.5671054059,213.016097448,0.0124738315839
300000,20.7098610658,386.726750221,0.0124738315839
301000,32.7482201079,351.354598721,0.0124738315839
302000,31.7311142539,230.587421018,0.0124738315839
303000,28.2502436701,357.676071433,0.0124738315839
304000,15.4781000473,318.062482668,0.0124738315839
305000,29.6967824938,220.436319375,0.0124738315839
306000,29.5148816896,265.950796664,0.0124738315839
307000,29.3984331176,351.105581273,0.0124738315839
308000,42.415563229,217.813879644,0.0124738315839
309000,69.803835939,430.06657365,0.0124738315839
310000,48.9514007094,465.365091598,0.0124738315839
311000,46.4238084424,338.41418179,0.0124738315839
312000,42.2061817634,271.302623592,0.0124738315839
313000,25.70794118,405.678053891,0.0124738315839
314000,33.6050173538,321.915975026,0.0124738315839
315000,30.5153518746,341.425004218,0.0124738315839
316000,33.9227730558,310.478045313,0.0124738315839
317000,25.5372270489,237.445705538,0.0124738315839
318000,33.2964505371,281.826719007,0.0124738315839
319000,29.016622758,284.470336978,0.0124738315839
320000,28.8760800969,333.784966042,0.0124738315839
321000,34.768691146,476.594311229,0.0124738315839
322000,33.5250204598,342.884399412,0.0124738315839
323000,51.7772175287,407.329241701,0.0124738315839
324000,49.7919450628,265.589112321,0.0124738315839
325000,42.8895499552,237.955530148,0.0124738315839
326000,32.8423739175,242.346674143,0.0124738315839
327000,31.8496691611,347.910934075,0.0124738315839
328000,34.6202055773,334.639710311,0.0124738315839
329000,17.9327582019,320.425183067,0.0124738315839
330000,18.6768478753,304.126368878,0.0124738315839
331000,16.0224729963,247.190612176,0.0124738315839
332000,44.881535184,296.720371983,0.0124738315839
333000,58.3191376524,409.88017067,0.0124738315839
334000,41.5896437112,268.098657398,0.0124738315839
335000,25.6093191888,383.903535461,0.0124738315839
336000,37.9684638349,386.806281236,0.0124738315839
337000,30.0685387734,371.87944994,0.0124738315839
338000,47.8775942673,400.055925853,0.0124738315839
339000,36.8881290554,469.831645721,0.0124738315839
340000,53.7129221533,292.505730123,0.0124738315839
341000,46.5818566715,333.954126165,0.0124738315839
342000,49.4431937413,329.457080453,0.0124738315839
343000,38.9353569263,297.9618634,0.0124738315839
344000,21.1556574748,237.431527454,0.0124738315839
345000,21.1605252082,164.789611233,0.0124738315839
346000,23.4732081713,295.870284178,0.0124738315839
347000,54.4717647936,163.012541968,0.0124738315839
348000,24.3537516608,278.94733177,0.0124738315839
349000,55.4221186245,197.401860379,0.0124738315839
350000,29.3275380746,399.549284718,0.0124738315839
351000,21.5100332971,279.786376091,0.0124738315839
352000,25.4792125386,280.201603494,0.0124738315839
353000,33.0110336019,299.781211402,0.0124738315839
354000,21.7240003518,222.834509342,0.0124738315839
355000,27.1941274239,292.521662719,0.0124738315839
356000,33.334294904,242.894953859,0.0124738315839
357000,52.978736136,243.95284818,0.0124738315839
358000,40.7088949111,305.312815229,0.0124738315839
359000,31.8368057941,379.74779129,0.0124738315839
360000,23.0707349942,299.65863776,0.0124738315839
361000,29.8591790677,335.235958053,0.0124738315839
362000,37.0754871604,276.15273548,0.0124738315839
363000,51.5481652707,408.470453159,0.0124738315839
364000,34.8913948141,401.896087349,0.0124738315839
365000,38.0293884635,222.311284885,0.0124738315839
366000,17.2642851011,409.225191113,0.0124738315839
367000,39.7024915789,262.736629385,0.0124738315839
368000,41.5164415627,372.316498474,0.0124738315839
369000,45.9540401935,302.322723271,0.0124738315839
370000,54.0539930998,248.890552593,0.0124738315839
371000,37.349468801,424.570562713,0.0124738315839
372000,44.5708357232,334.223619751,0.0124738315839
373000,22.8750269395,352.240769722,0.0124738315839
374000,32.6751443344,227.926672557,0.0124738315839
375000,29.3950212916,283.417754897,0.0124738315839
376000,47.7337246207,249.135080388,0.0124738315839
377000,29.481728928,245.174909666,0.0124738315839
378000,27.8298673165,377.841800449,0.0124738315839
379000,48.7931306708,278.100865628,0.0124738315839
380000,36.4568820987,351.621129189,0.0124738315839
381000,31.4078900081,331.220569096,0.0124738315839
382000,35.1750909513,293.652705257,0.0124738315839
383000,24.6533236924,296.764596064,0.0124738315839
384000,35.213012993,283.770771286,0.0124738315839
385000,36.0843818479,342.407747591,0.0124738315839
386000,46.6531932269,232.689275967,0.0124738315839
387000,33.8575812728,250.866013299,0.0124738315839
388000,31.6633840122,237.366706686,0.0124738315839
389000,29.7401767563,435.076232782,0.0124738315839
390000,32.1416395702,153.597867424,0.0124738315839
391000,33.3515525217,229.718075,0.0124738315839
392000,31.103080092,216.673958722,0.0124738315839
393000,20.9088478978,251.803356504,0.0124738315839
394000,29.1002969677,162.471522336,0.0124738315839
395000,12.9662574375,279.203986841,0.0124738315839
396000,20.9387620992,397.786045243,0.0124738315839
397000,11.79577057,294.641531782,0.0124738315839
398000,30.7453508675,182.005420622,0.0124738315839
399000,44.2988288962,181.580899288,0.0124738315839
400000,33.5454721601,262.975847938,0.0124738315839
401000,33.69630516,294.041183297,0.0124738315839
402000,28.1343423237,196.140634839,0.0124738315839
403000,31.6877761933,216.777437402,0.0124738315839
404000,30.0271376148,328.763585292,0.0124738315839
405000,50.2166360477,213.041003118,0.0124738315839
406000,31.0474315257,250.772958915,0.0124738315839
407000,32.6207230532,401.093243389,0.0124738315839
408000,51.5164914902,211.484704545,0.0124738315839
409000,43.5307397046,201.509144459,0.0124738315839
