#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,191.727738893,1408.6178655,0.0124738315839
2000,93.6715594189,1143.98260859,0.0124738315839
3000,62.1263147416,739.081927063,0.0124738315839
4000,53.7894184601,370.826304985,0.0124738315839
5000,36.9660224486,369.763025227,0.0124738315839
6000,45.910193886,360.363854615,0.0124738315839
7000,39.4098959793,335.415296956,0.0124738315839
8000,46.7530856055,415.720558636,0.0124738315839
9000,43.6835572442,202.745980859,0.0124738315839
10000,35.8814761882,251.682430846,0.0124738315839
11000,46.3969003981,294.254620953,0.0124738315839
12000,47.2960029057,246.518411229,0.0124738315839
13000,45.9375884973,275.557656031,0.0124738315839
14000,49.0186881702,228.54439506,0.0124738315839
15000,37.8903900858,254.196434444,0.0124738315839
16000,35.4010896207,262.710182735,0.0124738315839
17000,45.8591000679,336.227589586,0.0124738315839
18000,34.7365787008,278.811651526,0.0124738315839
19000,37.5073832523,370.947354331,0.0124738315839
20000,44.3934252112,503.884236332,0.0124738315839
21000,49.860577004,175.35956313,0.0124738315839
22000,23.3381152506,230.976365886,0.0124738315839
23000,60.4374915297,247.000014367,0.0124738315839
24000,60.7366892989,320.007461439,0.0124738315839
25000,41.2738130547,405.880037752,0.0124738315839
26000,31.4260989214,327.663903952,0.0124738315839
27000,72.6878113223,297.681892374,0.0124738315839
28000,26.115058824,482.881251973,0.0124738315839
29000,41.5325384123,326.04767119,0.0124738315839
30000,32.3532546734,299.494613662,0.0124738315839
31000,43.7618739069,410.817692585,0.0124738315839
32000,42.2877353499,357.773836543,0.0124738315839
33000,51.6249517755,284.810558277,0.0124738315839
34000,55.9091523359,380.82498643,0.0124738315839
35000,41.3070571188,409.120978829,0.0124738315839
36000,49.673933899,250.311552449,0.0124738315839
37000,45.4139532205,159.890612156,0.0124738315839
38000,31.3631134412,339.775858722,0.0124738315839
39000,56.0921814292,227.394327284,0.0124738315839
40000,48.2896830639,244.250293529,0.0124738315839
41000,52.6008988977,432.928819628,0.0124738315839
42000,24.2973953866,319.019632011,0.0124738315839
43000,29.0411962495,311.275973892,0.0124738315839
44000,47.0684608081,219.345369502,0.0124738315839
45000,42.1232308108,324.502454171,0.0124738315839
46000,48.8258914783,344.426355075,0.0124738315839
47000,37.5304719312,328.808546406,0.0124738315839
48000,58.5577406235,359.517756098,0.0124738315839
49000,39.9663452103,375.786862461,0.0124738315839
50000,31.1498813291,224.51469054,0.0124738315839
51000,33.2198312153,265.208503598,0.0124738315839
52000,35.845378075,318.859199989,0.0124738315839
53000,35.2935019592,294.553676378,0.0124738315839
54000,50.8232075495,240.678685838,0.0124738315839
55000,43.0795235342,358.754700017,0.0124738315839
56000,58.4291517387,210.93401716,0.0124738315839
57000,42.5149742866,301.63997498,0.0124738315839
58000,38.7667713576,258.979915297,0.0124738315839
59000,42.9629589498,377.556720849,0.0124738315839
