	InChI_keys	SMILES_strings	Molecular_formulas	AlkEthOH_ID
208	PFNHSEQQEPMLNI-ZCFIWIBFSA-N	CCC[C@@H](C)CO	C6H14O	AlkEthOH_c1086
209	KDCXTGKOYYMMFM-SFYZADRCSA-N	C[C@@]1(CCCOC[C@@](O1)(C)O)O	C8H16O4	AlkEthOH_r485
210	OPKZHXKVIRJEPB-HTQZYQBOSA-N	C[C@]1(CCOC[C@](C1)(C)O)O	C8H16O3	AlkEthOH_r530
211	QIGOESOMEANKQI-PHDIDXHHSA-N	C[C@]1(CC[C@H](C1)O)O	C6H12O2	AlkEthOH_r297
212	JKPRALRROOFHFZ-UHFFFAOYSA-N	COCCOCO	C4H10O3	AlkEthOH_c1297
213	JQUWCYSGSDOZOO-SCSAIBSYSA-N	C[C@@](CO)(O)OC	C4H10O3	AlkEthOH_c761
214	RJHIMJVOVDDOSP-ZCFIWIBFSA-N	CCO[C@](C)(CCO)O	C6H14O3	AlkEthOH_c1208
215	WUQSBRSDNPCRAM-PHDIDXHHSA-N	C[C@]1(C[C@](OC1)(C)O)O	C6H12O3	AlkEthOH_r263
216	XBPPTIWCGIXQMB-UHFFFAOYSA-N	CC(C)CC(C)(C)C(C)(C)O	C10H22O	AlkEthOH_c367
217	DCUYGCJQVJXUHU-UHFFFAOYSA-N	CC1(CCOCC1)O	C6H12O2	AlkEthOH_r542
218	VIJZZJKGTNSBLL-UHFFFAOYSA-N	CC1(CC(C1)(C)C)C	C8H16	AlkEthOH_r218
219	MGYPKFINFRBLJV-SCSAIBSYSA-N	C1COCO[C@H]1O	C4H8O3	AlkEthOH_r162
220	OZPCMJUDSSEYJR-UHFFFAOYSA-N	C1CCOCCCOC1	C7H14O2	AlkEthOH_r96
221	PRHCBRXAHBBRKA-UHFFFAOYSA-N	CC(C)(O)OC(C)(C)O	C6H14O3	AlkEthOH_c242
222	PUPZLCDOIYMWBV-BYPYZUCNSA-N	C[C@@H](CCO)O	C4H10O2	AlkEthOH_c744
223	VWPVAURFMJIRKE-SSDOTTSWSA-N	C[C@@]1(C(CCO1)(C)C)O	C7H14O2	AlkEthOH_r522
224	PZVUJHVIAVEHGZ-ZETCQYMHSA-N	C[C@@H](CCO)OC(C)(C)C	C8H18O2	AlkEthOH_c746
225	FVNIMHIOIXPIQT-YFKPBYRVSA-N	CC[C@H](C)OC	C5H12O	AlkEthOH_c979
226	GXDHCNNESPLIKD-UHFFFAOYSA-N	CCCCC(C)C	C7H16	AlkEthOH_c1123
227	ZXYUOPGAWZHEAL-RQJHMYQMSA-N	C1CCOC[C@H](O[C@H](C1)O)O	C7H14O4	AlkEthOH_r91
228	BHRIZWHGAXDODD-SECBINFHSA-N	C[C@]1(CCCOCC1(C)C)O	C9H18O2	AlkEthOH_r618
229	BGWICYZDBJVMQC-LURJTMIESA-N	CCO[C@@H](C(C)(C)C)O	C7H16O2	AlkEthOH_c1164
230	UDHUBDJSCSNOKV-MRVPVSSYSA-N	CCC[C@@H](C)OC(C)(C)C	C9H20O	AlkEthOH_c1090
231	ZARLSXIXVUICJM-SSDOTTSWSA-N	C[C@@]1(CC(CO1)(C)C)O	C7H14O2	AlkEthOH_r262
232	XSAJCGUYMQTAHL-ZCFIWIBFSA-N	CCC[C@@H](C)OC	C6H14O	AlkEthOH_c1089
233	LSYBRIBUPZKJHU-ZETCQYMHSA-N	CCCC(C)(C)O[C@@H](C)O	C8H18O2	AlkEthOH_c1045
234	RBKWXSUAHKTJKI-SFYZADRCSA-N	C[C@]1(COCCCO[C@]1(C)O)O	C8H16O4	AlkEthOH_r644
235	ZUVPYUXEHOOBAU-ZETCQYMHSA-N	C[C@H]1CC(CCO1)(C)C	C8H16O	AlkEthOH_r790
236	SWZUJPXFLKZGLI-UHFFFAOYSA-N	CC1(CCCCO1)C	C7H14O	AlkEthOH_r413
237	BVIJQMCYYASIFP-PHDIDXHHSA-N	C[C@@H]1CCC[C@H]1O	C6H12O	AlkEthOH_r862
238	JYULEKQYXDHMFG-BQBZGAKWSA-N	C1CCOC[C@@H]([C@H](C1)O)O	C7H14O3	AlkEthOH_r87
239	KFRVYYGHSPLXSZ-UHFFFAOYSA-N	CCC(C)(C)OCC	C7H16O	AlkEthOH_c939
240	JWUJQDFVADABEY-RXMQYKEDSA-N	C[C@@H]1CCCO1	C5H10O	AlkEthOH_r956
241	UCEAJHOHUHENTE-JGVFFNPUSA-N	C[C@]1(CCCC[C@@H](C1)O)O	C8H16O2	AlkEthOH_r331
242	FHQUDZUTAZYJRH-DTWKUNHWSA-N	C[C@@H](C[C@@H](C)O)CC(C)(C)C	C10H22O	AlkEthOH_c663
243	PTIREGYTDHSLJB-YFKPBYRVSA-N	C1C[C@H](OCOC1)O	C5H10O3	AlkEthOH_r31
244	PSJBSUHYCGQTHZ-SCSAIBSYSA-N	COC[C@@H](CO)O	C4H10O3	AlkEthOH_c1291
245	LSQPKVGCDZVSRS-QMMMGPOBSA-N	C[C@]1(COCCOC(O1)(C)C)O	C8H16O4	AlkEthOH_r727
246	DRWVONFOOBBRAM-MRVPVSSYSA-N	C[C@H](C(C)(C)C)OC(C)C	C9H20O	AlkEthOH_c541
247	XSMHBEAIQLABAO-SNVBAGLBSA-N	C[C@H](CC(C)C)CC(C)(C)C	C11H24	AlkEthOH_c415
248	ANOUYQMOKOJSDB-ZJUUUORDSA-N	C[C@@]1(CCCCCC[C@H](C1)O)O	C10H20O2	AlkEthOH_r365
249	TWWSMHPNERSWRN-UHFFFAOYSA-N	CC(C)OC(C)OC(C)C	C8H18O2	AlkEthOH_c559
250	YENVNKJONCFUCQ-SFYZADRCSA-N	C[C@]1(CCCCOC[C@@H](O1)O)O	C8H16O4	AlkEthOH_r441
251	QEGNUYASOUJEHD-UHFFFAOYSA-N	CC1(CCCCC1)C	C8H16	AlkEthOH_r340
252	GCPJIAPQIDNZBQ-YFKPBYRVSA-N	C[C@@H](C(C)(C)OCO)O	C6H14O3	AlkEthOH_c73
253	RXTMEHAYCHYAOC-SSDOTTSWSA-N	CCO[C@@](C)(O)OC(C)C	C7H16O3	AlkEthOH_c1216
254	BMTKKEPSFHREGD-UHFFFAOYSA-N	CC(C)CC(C)(C)CC(C)(C)O	C11H24O	AlkEthOH_c373
255	PUXPSUBLYDOJNF-ZLUOBGJFSA-N	C[C@@H](C[C@@H]([C@H](C)O)O)O	C6H14O3	AlkEthOH_c598
256	XKGLDWXIVBJDGT-RKDXNWHRSA-N	C[C@]1(C[C@](OCCCOC1)(C)O)O	C9H18O4	AlkEthOH_r273
257	BBPQTRUXEGKYOU-RNFRBKRXSA-N	C[C@@H]1OCCCOC[C@@H](O1)O	C7H14O4	AlkEthOH_r1139
258	PHINJFURVQJQQF-UHFFFAOYSA-N	CCOC(C)(C)OC(C)C	C8H18O2	AlkEthOH_c1197
259	ZXEBZYMKUKCGAD-ZCFIWIBFSA-N	C[C@]1(OCC(O1)(C)C)O	C6H12O3	AlkEthOH_r598
260	ADWLTAWBEPMNSF-NTSWFWBYSA-N	C[C@H]1OCC[C@](O1)(C)O	C6H12O3	AlkEthOH_r1116
261	UFAFXLWYHVXDTN-MRVPVSSYSA-N	C[C@H](CCCC(C)(C)C)O	C9H20O	AlkEthOH_c709
262	GTCCGKPBSJZVRZ-WHFBIAKZSA-N	C[C@@H](C[C@H](C)O)O	C5H12O2	AlkEthOH_c670
263	VRQHRFYERLVGJI-ZETCQYMHSA-N	C[C@@H](C(C)(C)OC(C)(C)C)O	C9H20O2	AlkEthOH_c67
264	LDLCPCMYFDWVHY-OLQVQODUSA-N	CC1CC(C1)(C)O	C6H12O	AlkEthOH_r772
265	RIRARCHMRDHZAR-RNFRBKRXSA-N	C[C@@H]1CCC[C@H]1C	C7H14	AlkEthOH_r861
266	VNWSIYTWHFIWTQ-NTSWFWBYSA-N	C[C@H]1OCCO[C@@](O1)(C)O	C6H12O4	AlkEthOH_r1144
267	XDPCNPCKDGQBAN-SCSAIBSYSA-N	C1COC[C@@H]1O	C4H8O2	AlkEthOH_r143
268	KJJIJNNULCDXEF-VIFPVBQESA-N	CC(C)C[C@@](C)(O)OC(C)C	C9H20O2	AlkEthOH_c404
269	ISHIGRAVDGSQTR-SFYZADRCSA-N	C[C@@H]1CCCCCO[C@@H](O1)O	C8H16O3	AlkEthOH_r915
270	DFEYVIFOCMTZOH-UHFFFAOYSA-N	CC(C)(C)COCCO	C7H16O2	AlkEthOH_c173
271	GFOQSKFLJAADLM-QMMMGPOBSA-N	C[C@H]1OCCCCOC(O1)(C)C	C9H18O3	AlkEthOH_r1131
272	HUCPYZJMVISXSK-MRVPVSSYSA-N	C[C@@H]1CCCCOC(O1)(C)C	C9H18O2	AlkEthOH_r929
273	MIXPTKJKUIFPFX-DTORHVGOSA-N	C[C@@H]1CCCCC[C@@H](O1)C	C9H18O	AlkEthOH_r882
274	OLCMEOZFMPJHCK-YFKPBYRVSA-N	C[C@@]1(CCOC1)O	C5H10O2	AlkEthOH_r525
275	OVKJVSVAXDGJHF-BQBZGAKWSA-N	C[C@@]1(C[C@H](CCOC1)O)O	C7H14O3	AlkEthOH_r243
276	UAEPNZWRGJTJPN-UHFFFAOYSA-N	CC1CCCCC1	C7H14	AlkEthOH_r871
277	CXOWYJMDMMMMJO-UHFFFAOYSA-N	CCCC(C)(C)C	C7H16	AlkEthOH_c1021
278	IBCLUYQLLWZWMX-UHFFFAOYSA-N	CC1(CCCCC(O1)(C)C)C	C10H20O	AlkEthOH_r332
279	RROCQUKFRDFYEB-OCAPTIKFSA-N	C[C@@H]1CCCC[C@@H](O1)C	C8H16O	AlkEthOH_r869
280	QSGHPMGXIKGKDK-RQJHMYQMSA-N	C[C@@H]1CCCCO[C@@H](O1)O	C7H14O3	AlkEthOH_r932
281	MAXILOSEOGSNST-UHFFFAOYSA-N	CC1(CCOCCC(C1)(C)C)C	C11H22O	AlkEthOH_r545
282	MWIAKWPGVHBDJO-RFZPGFLSSA-N	C1COCO[C@H](O[C@H]1O)O	C5H10O5	AlkEthOH_r160
283	FVBVCMDEDCUCGL-BQBZGAKWSA-N	C[C@@H](C(C)C)O[C@@H](C)O	C7H16O2	AlkEthOH_c333
284	TXNNIRKCXXNFSU-POYBYMJQSA-N	C[C@@H](O)O[C@](C)(CC(C)(C)O)O	C8H18O4	AlkEthOH_c845
285	FTPXXARYDFWPGE-SSDOTTSWSA-N	C[C@H](C(C)C)C(C)(C)O	C8H18O	AlkEthOH_c314
286	NGVHIBVJRKDOPF-ZCFIWIBFSA-N	CCC[C@H](O)OC(C)(C)O	C7H16O3	AlkEthOH_c1112
287	GCGFXFIPOBRMQT-UHFFFAOYSA-N	CC(C)CC(C)(C)C(C)C	C10H22	AlkEthOH_c369
288	NXAIUZIKTGFZLG-QMMMGPOBSA-N	C[C@]1(C(CCCO1)(C)C)O	C8H16O2	AlkEthOH_r472
289	ROEFTLXEJDNPDV-LURJTMIESA-N	C[C@@H](O)OCC(C)(C)C	C7H16O2	AlkEthOH_c882
290	NBJOGAVRJIWMNL-QMMMGPOBSA-N	C[C@@]1(OCCCC(O1)(C)C)O	C8H16O3	AlkEthOH_r467
291	JPUIYNHIEXIFMV-UHFFFAOYSA-N	CC(C)CCC(C)(C)O	C8H18O	AlkEthOH_c452
292	BAYAKMPRFGNNFW-UHFFFAOYSA-N	CC(C)C(C(C)C)O	C7H16O	AlkEthOH_c262
293	AUWLRXOPRJIBQI-RFZPGFLSSA-N	CC[C@H](O)O[C@H](C)O	C5H12O3	AlkEthOH_c1004
294	ZYBHWNXVOZJYQE-UHFFFAOYSA-N	CC1(COCCCCOC1)O	C8H16O3	AlkEthOH_r632
295	MUJURCOGRCJJRX-JGVFFNPUSA-N	C[C@H]1CCCCO[C@H](O1)C	C8H16O2	AlkEthOH_r931
296	FFYZXNOAFYCXEV-WDSKDSINSA-N	C[C@@H](CC(C[C@H](C)O)O)O	C7H16O3	AlkEthOH_c681
297	HXTDXNAYJUTKML-ZETCQYMHSA-N	C[C@H]1OCOCCC(O1)(C)C	C8H16O3	AlkEthOH_r1153
298	LZGJKQLRVXDAGN-SNVBAGLBSA-N	C[C@@]1(CCCCCC(O1)(C)C)O	C10H20O2	AlkEthOH_r350
299	GSJAOOXPEUTMEV-SSDOTTSWSA-N	CC1(CCOCO[C@H](C1)O)C	C8H16O3	AlkEthOH_r575
300	CJGWLHDFPXIKQX-SSDOTTSWSA-N	CCC(C)(C)C[C@@H](C)O	C8H18O	AlkEthOH_c926
301	HQHBYEDVJTTYNH-ZETCQYMHSA-N	CC(C)O[C@@H](CC(C)(C)O)O	C8H18O3	AlkEthOH_c564
302	VZRDMLYSUZAOSP-IUCAKERBSA-N	C[C@H]1[C@@](CCCCCO1)(C)O	C9H18O2	AlkEthOH_r740
303	IMNUZTZXAFDLBY-QMMMGPOBSA-N	C[C@H]1CC(COCCO1)(C)C	C9H18O2	AlkEthOH_r805
304	RGRUUTLDBCWYBL-SSDOTTSWSA-N	CCC[C@H](C(C)C)O	C7H16O	AlkEthOH_c1012
305	ANUUQAHHEZMTAS-WHFBIAKZSA-N	C[C@@H]([C@H](CCO)O)O	C5H12O3	AlkEthOH_c111
306	BOVVDOOGKRPSEN-SSDOTTSWSA-N	C[C@H](CC(C)(C)OC(C)(C)O)O	C9H20O3	AlkEthOH_c629
307	JSBVSJZCEACNKL-RQJHMYQMSA-N	C[C@]1(CCCOC[C@@H](O1)O)O	C7H14O4	AlkEthOH_r487
308	HXQPUEQDBSPXTE-UHFFFAOYSA-N	CC(C)CC(CC(C)C)O	C9H20O	AlkEthOH_c436
309	OMOQORWAVZZCHS-RFZPGFLSSA-N	C[C@]1(CO[C@@]1(C)O)O	C5H10O3	AlkEthOH_r604
310	HWSZQDNHIHDEAM-UHFFFAOYSA-N	CC(C)C(C)(C)OC(C)C	C9H20O	AlkEthOH_c291
311	JRWPCVWRZUVXSE-UHFFFAOYSA-N	CC1(COC1(C)C)C	C7H14O	AlkEthOH_r602
312	DBUYAQGAZVCYFS-RITPCOANSA-N	C[C@@H]1CCOCO[C@@H]1O	C6H12O3	AlkEthOH_r1047
313	KMIBLTRIQHPHOZ-LURJTMIESA-N	CC[C@H](C)OC(C)(C)O	C7H16O2	AlkEthOH_c981
314	HHOSMYBYIHNXNO-UHFFFAOYSA-N	CC(C)CCC(C)(C)C	C9H20	AlkEthOH_c451
315	GBSGXZBOFKJGMG-UHFFFAOYSA-N	CC(C)OCCCO	C6H14O2	AlkEthOH_c590
316	VEVYFPTWUGHBQB-RFZPGFLSSA-N	C[C@H]([C@](C)(O)OC)O	C5H12O3	AlkEthOH_c90
317	XNWFRZJHXBZDAG-UHFFFAOYSA-N	COCCO	C3H8O2	AlkEthOH_c1296
318	NLNMBQJPOSCBCN-NKWVEPMBSA-N	C[C@H]1CCC[C@@]1(C)O	C7H14O	AlkEthOH_r860
319	RZJSMOMNIFEIQA-OCAPTIKFSA-N	C[C@]1(OCCCCO[C@](O1)(C)O)O	C8H16O5	AlkEthOH_r706
320	WJTCGQSWYFHTAC-UHFFFAOYSA-N	C1CCCCCCC1	C8H16	AlkEthOH_r62
321	NBRAOXPGSNBWHW-MRVPVSSYSA-N	CC(C)[C@](C)(O)OC(C)C	C8H18O2	AlkEthOH_c308
322	YZZYYGNNGFBUHQ-LURJTMIESA-N	C[C@]1(CCCOCO1)O	C6H12O3	AlkEthOH_r502
323	UUMOVDMUHSSRJX-QMMMGPOBSA-N	C[C@@H](C(C)C)OC(C)C	C8H18O	AlkEthOH_c332
324	XROULHQJFPDLCI-UHFFFAOYSA-N	CC1(CC(C1)(C)O)C	C7H14O	AlkEthOH_r219
325	JBGIAXJMKKHFNQ-RNFRBKRXSA-N	C[C@H](C[C@@](C)(CCO)O)O	C7H16O3	AlkEthOH_c640
326	FOSUJFJMHJHQRZ-UHFFFAOYSA-N	CC(C)(C(C)(C)OCO)O	C7H16O3	AlkEthOH_c129
327	UFNVTMFSSKPIEO-GSVOUGTGSA-N	C[C@H](O)OCO	C3H8O3	AlkEthOH_c893
328	WOHXXIWTEHLCQK-NTSWFWBYSA-N	C[C@@H](CCO)[C@@H](C)O	C6H14O2	AlkEthOH_c734
329	PQOBQMXKSMBQPG-QWWZWVQMSA-N	C[C@@]1(C[C@@H](O1)O)O	C4H8O3	AlkEthOH_r260
330	ALTFLAPROMVXNX-YFKPBYRVSA-N	C[C@H]1COC(O1)(C)C	C6H12O2	AlkEthOH_r1052
331	CGBXTCWYLFPGQF-DSYKOEDSSA-N	C[C@H](C[C@](C)(O)O[C@@H](C)O)O	C7H16O4	AlkEthOH_c653
332	XKBPVBLPDZYQEC-ZETCQYMHSA-N	C[C@]1(CCOCCCO1)O	C7H14O3	AlkEthOH_r563
333	SODKTKJZYBOMMT-RQJHMYQMSA-N	C[C@@H]([C@H](C)O)C(C)C	C7H16O	AlkEthOH_c317
334	LOKXIMFRWAZGBO-ZETCQYMHSA-N	CC1(CCCOC[C@H](O1)O)C	C8H16O3	AlkEthOH_r486
335	DMTUISLYKAKYLJ-HTQZYQBOSA-N	C[C@@]1(COCCCO[C@@](O1)(C)O)O	C8H16O5	AlkEthOH_r639
336	SQWXYOZYRDPMQK-SSDOTTSWSA-N	CC(C)O[C@](C)(COC)O	C7H16O3	AlkEthOH_c530
337	UCLDGPJFBXMQDG-QMMMGPOBSA-N	C[C@@]1(CCCCOCOC1)O	C8H16O3	AlkEthOH_r454
338	ZBRVJIPAVUTNKR-MRVPVSSYSA-N	C[C@@](CCO)(CC(C)(C)O)O	C8H18O3	AlkEthOH_c195
339	AUQJRCNINBHVBQ-NKWVEPMBSA-N	C[C@@H](O)O[C@H](C)OC(C)C	C7H16O3	AlkEthOH_c560
340	DNZJBKSXLSDWCX-LURJTMIESA-N	CC[C@@](C)(COC)O	C6H14O2	AlkEthOH_c950
341	PTWXFJWKUMXFLI-DTORHVGOSA-N	C[C@@H]1CCCC[C@@H](C1)C	C9H18	AlkEthOH_r865
342	REEXNAQMETUFNZ-UHFFFAOYSA-N	CC1(OCCCCO1)O	C6H12O3	AlkEthOH_r703
343	FGQLGYBGTRHODR-UHFFFAOYSA-N	CCOC(C)(C)OCC	C7H16O2	AlkEthOH_c1200
344	MNZXUJMTAVPHKY-SSDOTTSWSA-N	CC1(CCCC[C@@H](O1)O)C	C8H16O2	AlkEthOH_r335
345	NYIDNJVRQGLXAS-CAHLUQPWSA-N	C[C@@H]([C@](C)(O)OC(C)(C)O)O	C7H16O4	AlkEthOH_c86
346	ICURLAUWVFJOKG-OLQVQODUSA-N	C1CCO[C@@H](O[C@@H](OC1)O)O	C6H12O5	AlkEthOH_r82
347	PHNDFOOEKCHRTF-ZCFIWIBFSA-N	C[C@H](CC(C)(C)CO)O	C7H16O2	AlkEthOH_c621
348	AZRBDBPTXXITSK-UHFFFAOYSA-N	CC(C)CCOCO	C6H14O2	AlkEthOH_c470
349	UUBAYFHWOMWEMT-RITPCOANSA-N	C[C@@H]1COCC[C@H](O1)O	C6H12O3	AlkEthOH_r1063
350	PBYLJWHPQMNAGQ-LURJTMIESA-N	C[C@]1(CCCCO1)O	C6H12O2	AlkEthOH_r414
351	BFKOEFFCVFMWPF-SSDOTTSWSA-N	CCC[C@@H](C)C(C)(C)O	C8H18O	AlkEthOH_c1072
352	UHAUUUINPRZQSA-ZETCQYMHSA-N	C1CC[C@@H](COCC1)O	C7H14O2	AlkEthOH_r44
353	HBUBAQKJVPFGMT-ZCFIWIBFSA-N	CCOC(C)(C)O[C@H](C)O	C7H16O3	AlkEthOH_c1198
354	JLCYYQOQSAMWTA-UHFFFAOYSA-N	CC(C)C(C)(C)C(C)C	C9H20	AlkEthOH_c275
355	YKXOUMYHCRFTCY-BQBZGAKWSA-N	C[C@]1([C@H](CCCCO1)O)O	C7H14O3	AlkEthOH_r189
356	RNQWXOKSUCPOFS-BYPYZUCNSA-N	C1CO[C@@H](CO1)O	C4H8O3	AlkEthOH_r122
357	INXFVDIFHNTJOY-SSDOTTSWSA-N	CC1(OCCCC[C@@H](O1)O)C	C8H16O3	AlkEthOH_r691
358	JALWXJSVSFAXSV-SSDOTTSWSA-N	CCOC(C)(C)C[C@@H](C)O	C8H18O2	AlkEthOH_c1187
359	PNKVMZKJHWWDQZ-UHFFFAOYSA-N	CC(C)C(C)(C)OC(C)(C)C	C10H22O	AlkEthOH_c288
360	UNVGBIALRHLALK-ZCFIWIBFSA-N	C[C@H](CCCCO)O	C6H14O2	AlkEthOH_c715
361	SJOUAROCJHKZJR-UWVGGRQHSA-N	C[C@H]1CCCCOC[C@H](C1)C	C10H20O	AlkEthOH_r940
362	QEDAYVPWBNXAML-YFKPBYRVSA-N	CC(C)(C)O[C@@H](O)OCO	C6H14O4	AlkEthOH_c189
363	XYYUMMZURAXDLL-SNVBAGLBSA-N	C[C@]1(COCCCCC1(C)C)O	C10H20O2	AlkEthOH_r443
364	WGPFDZZYQPVNKR-MRVPVSSYSA-N	CC1(CCCCOC[C@@H](O1)O)C	C9H18O3	AlkEthOH_r440
365	PBRBBEIRMVTIEY-JGVFFNPUSA-N	C[C@@H](C[C@H](CC(C)(C)C)O)O	C9H20O2	AlkEthOH_c678
366	KXOJTGBFALVYMZ-VIFPVBQESA-N	C[C@]1(CCCCCCCO1)O	C9H18O2	AlkEthOH_r381
367	XSUGNHFQZVTQML-UHFFFAOYSA-N	CCC(C)(C)OC(C)(C)O	C8H18O2	AlkEthOH_c934
368	FQXVGBHIIPBPIU-YFKPBYRVSA-N	COC[C@H](CCO)O	C5H12O3	AlkEthOH_c1290
369	VORBOMMQBCSRQF-MRVPVSSYSA-N	CCC[C@@H](C)CC(C)(C)O	C9H20O	AlkEthOH_c1079
370	PALCENMYDFCAJA-MRVPVSSYSA-N	C[C@]1(OCCOCC(O1)(C)C)O	C8H16O4	AlkEthOH_r654
371	ZFVWBUVYNPLIIS-UHNVWZDZSA-N	C[C@@H]1[C@H](CCO1)O	C5H10O2	AlkEthOH_r750
372	ARXKVVRQIIOZGF-BYPYZUCNSA-N	C(CO)[C@@H](CO)O	C4H10O3	AlkEthOH_c18
373	LJPCNSSTRWGCMZ-RXMQYKEDSA-N	C[C@@H]1CCOC1	C5H10O	AlkEthOH_r999
374	BBOMJCSSXWZKGW-NKWVEPMBSA-N	C[C@@H](CC(C)(C)O)[C@@H](C)O	C8H18O2	AlkEthOH_c623
375	OZCLNOFWVSPFKD-UHFFFAOYSA-N	CC1(CCOCC1(C)C)C	C9H18O	AlkEthOH_r538
376	HWBUKLTZYVRXHX-ZETCQYMHSA-N	C[C@@H](OC(C)C)OC(C)(C)O	C8H18O3	AlkEthOH_c557
377	MLHQPPYBHZSBCX-RXMQYKEDSA-N	C[C@H](COCCO)O	C5H12O3	AlkEthOH_c797
378	VCVOSERVUCJNPR-RFZPGFLSSA-N	C1C[C@H]([C@@H](C1)O)O	C5H10O2	AlkEthOH_r10
379	MGJWVCVHZJCYTF-SECBINFHSA-N	CC1(CCCCC[C@H](C1)O)C	C10H20O	AlkEthOH_r347
380	VSPPFUREWPZDQF-NTSWFWBYSA-N	C1C[C@@H](C[C@@H](OC1)O)O	C6H12O3	AlkEthOH_r17
381	MGLHTCLIAGVVPY-UHFFFAOYSA-N	CCOC(C)(C)CC(C)C	C9H20O	AlkEthOH_c1186
382	AOSWEFVFYAEBKN-SECBINFHSA-N	C[C@@H]1CCCCCCCO1	C9H18O	AlkEthOH_r903
383	GAGFDYCVRAFFAO-UHFFFAOYSA-N	CC1(CCCOCCC1)O	C8H16O2	AlkEthOH_r496
384	MSOMPAMTVRTALG-LURJTMIESA-N	C[C@@H](O)OC(C)(C)CCO	C7H16O3	AlkEthOH_c833
385	KMHLDLFRERGMEE-UHFFFAOYSA-N	CC(C)(O)OCO	C4H10O3	AlkEthOH_c253
386	DXOQSZJZEPERBP-WDSKDSINSA-N	C[C@H]1CCOC[C@H](O1)O	C6H12O3	AlkEthOH_r1011
387	CMZOFPDDCTUMLU-NKWVEPMBSA-N	C[C@@]1(CCCCO[C@@H](O1)O)O	C7H14O4	AlkEthOH_r424
388	JJZQCWJBVRJHOH-ZCFIWIBFSA-N	C[C@@](CO)(O)OC(C)(C)O	C6H14O4	AlkEthOH_c245
389	QUFJRNRBGVBJDZ-SFYZADRCSA-N	C[C@@H]1C[C@](COCCO1)(C)O	C8H16O3	AlkEthOH_r806
390	RWBZIZQVFBPPCN-QMMMGPOBSA-N	C[C@]1(C(COCCO1)(C)C)O	C8H16O3	AlkEthOH_r659
391	BJIJCRHPHAJDHH-SSDOTTSWSA-N	CC1(C[C@@H](OCCOC1)O)C	C8H16O3	AlkEthOH_r284
392	DXYPMBTZKGQTEP-HTQZYQBOSA-N	C[C@@H]1CCCCC[C@@H](O1)O	C8H16O2	AlkEthOH_r883
393	OFZYBEBWCZBCPM-UHFFFAOYSA-N	CC1(CCC1)C	C6H12	AlkEthOH_r306
394	CHYLPGFTQFTWNK-JGVFFNPUSA-N	C[C@]1(CCCCOC[C@@H]1O)O	C8H16O3	AlkEthOH_r448
395	WKHRDGKOKYBNDZ-OLQVQODUSA-N	CC1CC(C1)C	C6H12	AlkEthOH_r773
396	PFHLGQKVKALLMD-SSDOTTSWSA-N	CCC[C@H](C(C)(C)C)O	C8H18O	AlkEthOH_c1009
397	HCUKPXHSAXNCKT-GBXIJSLDSA-N	C1[C@@H](O[C@H](O1)O)O	C3H6O4	AlkEthOH_r6
398	SCTFDZUETCFPNM-UHFFFAOYSA-N	CC(C)(CCOCO)O	C6H14O3	AlkEthOH_c224
399	UYTYTGQIIYYTGL-SSDOTTSWSA-N	CCO[C@](C)(C(C)(C)O)O	C7H16O3	AlkEthOH_c1171
400	WGECXQBGLLYSFP-ZETCQYMHSA-N	CC[C@H](C)C(C)C	C7H16	AlkEthOH_c965
401	WTSJZRMCRRCDIQ-UHFFFAOYSA-N	CC(C)OC(C)(C)CC(C)(C)C	C11H24O	AlkEthOH_c506
402	XDXXBFXNXAGXIA-WDSKDSINSA-N	CC[C@H](C)O[C@@H](C)O	C6H14O2	AlkEthOH_c984
403	CBVFSZDQEHBJEQ-MRVPVSSYSA-N	CCC[C@@H](C)C(C)(C)C	C9H20	AlkEthOH_c1071
404	IIYGOARYARWJBO-SECBINFHSA-N	CCC[C@@H](C)CC(C)(C)C	C10H22	AlkEthOH_c1078
405	MAJXMQPCELMASX-UHFFFAOYSA-N	CCOC(C)(C)C(C)(C)O	C8H18O2	AlkEthOH_c1178
406	SXDVQJWHNLAYRP-WDSKDSINSA-N	C[C@@H](O)O[C@@H](C(C)(C)C)O	C7H16O3	AlkEthOH_c816
407	LXCIMZRBRJKJCJ-SYDPRGILSA-N	C1C[C@@H](O[C@@H](C1)O)O	C5H10O3	AlkEthOH_r24
408	NRAAJNMXMVXPTQ-UHFFFAOYSA-N	CC1COCCOC1	C6H12O2	AlkEthOH_r1099
409	SIJBDWPVNAYVGY-UHFFFAOYSA-N	CC1(OCCO1)C	C5H10O2	AlkEthOH_r720
410	CHCLGECDSSWNCP-UHFFFAOYSA-N	CCOCOC	C4H10O2	AlkEthOH_c1283
411	LHERZADWCMNUGB-ZCFIWIBFSA-N	CCC[C@@H](C)OCO	C6H14O2	AlkEthOH_c1097
412	FWRDQCHWQGNXNZ-UHFFFAOYSA-N	CC(C)(CO)C(C)(C)O	C7H16O2	AlkEthOH_c225
413	IVTACLGUUXBTMN-ZETCQYMHSA-N	C[C@@H](CCOC(C)C)O	C7H16O2	AlkEthOH_c588
414	TZQDTTOEEOLHCX-ZETCQYMHSA-N	CC1(C[C@@H](COCCO1)O)C	C8H16O3	AlkEthOH_r254
415	YHBDLLIYXCZZIP-QMMMGPOBSA-N	CCC[C@@](C)(O)OC(C)(C)O	C8H18O3	AlkEthOH_c1063
