	InChI_keys	SMILES_strings	Molecular_formulas	AlkEthOH_ID
48	POLCUAVZOMRGSN-UHFFFAOYSA-N	CCCOCCC	C6H14O	AlkEthOH_c1158
49	GUMULFRCHLJNDY-UHFFFAOYSA-N	CC(C)(C)CC(C)(C)C	C9H20	AlkEthOH_c154
50	LMZBGVBKISSTKO-WSOKHJQSSA-N	C1[C@@H](O[C@@H]1O)O	C3H6O3	AlkEthOH_r7
51	IXJCKRBRONQICJ-UHFFFAOYSA-N	CC(C)(C)CC(C)(C)CCO	C10H22O	AlkEthOH_c155
52	TWUJTRXUFYJNKX-YUMQZZPRSA-N	C[C@@H](C[C@H](C)OC(C)C)O	C8H18O2	AlkEthOH_c549
53	CRSOQBOWXPBRES-UHFFFAOYSA-N	CC(C)(C)C	C5H12	AlkEthOH_c140
54	FNLCBYZLOASUGS-QMMMGPOBSA-N	C[C@H]1OCCCCC(O1)(C)C	C9H18O2	AlkEthOH_r1121
55	GQSZUUPRBBBHRI-UHFFFAOYSA-N	CC(C)(CCO)CO	C6H14O2	AlkEthOH_c216
56	XCWZSWBOSVVZGV-IMJSIDKUSA-N	C1C[C@H](O[C@@H]1O)O	C4H8O3	AlkEthOH_r28
57	BTANRVKWQNVYAZ-BYPYZUCNSA-N	CC[C@H](C)O	C4H10O	AlkEthOH_c978
58	DAYIASHZGPYEIS-UHFFFAOYSA-N	CC1(CCCCCCCC1)C	C11H22	AlkEthOH_r378
59	MNZMBRMTIXIICA-ZETCQYMHSA-N	C[C@@]1(CCOCCOC1)O	C7H14O3	AlkEthOH_r567
60	JGNIFMSOWKXXQZ-ZETCQYMHSA-N	C[C@H]1CCOCC(O1)(C)C	C8H16O2	AlkEthOH_r1008
61	SMCQJMONYJNZSP-ZCFIWIBFSA-N	CC(C)O[C@H](COC)O	C6H14O3	AlkEthOH_c570
62	WWYINXRAIQWRJH-RQJHMYQMSA-N	C[C@@H]1CCOC[C@@H](O1)C	C7H14O2	AlkEthOH_r1010
63	AQEFLFZSWDEAIP-UHFFFAOYSA-N	CC(C)(C)OC(C)(C)C	C8H18O	AlkEthOH_c177
64	ZFCUTFMDALQSSY-UHFFFAOYSA-N	CC(C)OCO	C4H10O2	AlkEthOH_c593
65	WZUGBFHTMLDOQF-ZCFIWIBFSA-N	CC1([C@@H](CCCO1)O)C	C7H14O2	AlkEthOH_r191
66	HNFSPSWQNZVCTB-UHFFFAOYSA-N	CC(C)OC(C)(C)C	C7H16O	AlkEthOH_c500
67	ULPPVNIIYLWILT-ZETCQYMHSA-N	CC1(CCCOC[C@@H]1O)C	C8H16O2	AlkEthOH_r493
68	CUXQAZVXRUWFCK-BYPYZUCNSA-N	CC[C@@H](O)OCO	C4H10O3	AlkEthOH_c1007
69	NXRFQMYYYRHGMU-ZCFIWIBFSA-N	CC(C)(C)[C@@H](CCO)O	C7H16O2	AlkEthOH_c150
70	WMZNUJPPIPVIOD-ZETCQYMHSA-N	CC[C@H](C)OC(C)(C)C	C8H18O	AlkEthOH_c980
71	PUZFDNOGUVCJLP-UHFFFAOYSA-N	CC(C)(C)C(C)(C)OCO	C8H18O2	AlkEthOH_c145
72	IZAOTARFPFBDLH-JTQLQIEISA-N	CC(C)C[C@@](C)(O)OC(C)(C)C	C10H22O2	AlkEthOH_c401
73	XDMBIDYMRMMSQN-SSDOTTSWSA-N	C[C@@H]1CCCCOC1	C7H14O	AlkEthOH_r933
74	HAJBKGCXWIDYDZ-ZETCQYMHSA-N	CC1(CCCCO[C@@H](O1)O)C	C8H16O3	AlkEthOH_r423
75	SNNIEWWKDBJZOD-UHFFFAOYSA-N	CC1(CCCCOCCC1)C	C10H20O	AlkEthOH_r449
76	HKNZQUAIOQUEMO-OCAPTIKFSA-N	C[C@@]1(CCCC[C@@](O1)(C)O)O	C8H16O3	AlkEthOH_r334
77	MHPMXFUDCYMCOE-IMJSIDKUSA-N	C1C[C@@H]([C@H]1O)O	C4H8O2	AlkEthOH_r14
78	QZZQGNITAOKPNN-UHFFFAOYSA-N	CC(C)C(C)(C)OCO	C7H16O2	AlkEthOH_c294
79	BBLDTXFLAHKYFJ-UHFFFAOYSA-N	CC1(CCC(O1)(C)C)C	C8H16O	AlkEthOH_r298
80	NMERIBRURLFKKJ-ZCFIWIBFSA-N	C1COCOC[C@@H](OC1)O	C6H12O4	AlkEthOH_r163
81	QXWNLWFQFMNXHS-UHFFFAOYSA-N	CC1(CCOCCCO1)C	C8H16O2	AlkEthOH_r562
82	CGWJMIUMPDDHQC-MRVPVSSYSA-N	CCC[C@](C)(C(C)C)O	C8H18O	AlkEthOH_c1018
83	INRXLPZJJKVZAV-AOOOYVTPSA-N	C[C@@H]1CCCCC[C@@H](C1)C	C10H20	AlkEthOH_r878
84	AYLYLWUPXDXXCA-UHFFFAOYSA-N	CC1COCCCOC1	C7H14O2	AlkEthOH_r1088
85	FFZFWOWBGKNVRF-SSDOTTSWSA-N	C[C@@H]1OCCOCC(O1)(C)C	C8H16O3	AlkEthOH_r1147
86	ZNUAJYQSVBNGSS-BDAKNGLRSA-N	C[C@@]1(C[C@@H](CCCCOC1)O)O	C9H18O3	AlkEthOH_r231
87	ZNBJKIGNSZHRAM-BQBZGAKWSA-N	C[C@H]1OCCCCO[C@@H](O1)O	C7H14O4	AlkEthOH_r1134
