	Unnamed: 0	InChI_keys	SMILES_strings	Molecular_formulas	AlkEthOH_ID
20	1442	COKZYANJOKKCSV-UHFFFAOYSA-N	C1OC(O1)O	C2H4O3	AlkEthOH_r181
19	1598	ULAGGPJVDRGWTI-UHFFFAOYSA-N	C1COCOCO1	C4H8O3	AlkEthOH_r166
18	982	UHHKSVZZTYJVEG-UHFFFAOYSA-N	C1CCCOCC1	C6H12O	AlkEthOH_r68
17	1943	CZLMRJZAHXYRIX-UHFFFAOYSA-N	C1CCOCOC1	C5H10O2	AlkEthOH_r100
16	13	LMTDPKYREUZYAO-UHFFFAOYSA-N	C1COCCOC1	C5H10O2	AlkEthOH_r151
15	276	UAEPNZWRGJTJPN-UHFFFAOYSA-N	CC1CCCCC1	C7H14	AlkEthOH_r871
14	1704	XDTMQSROBMDMFD-UHFFFAOYSA-N	C1CCCCC1	C6H12	AlkEthOH_r60
13	1000	RYHBNJHYFVUHQT-UHFFFAOYSA-N	C1COCCO1	C4H8O2	AlkEthOH_r150
12	1724	HTWIZMNMTWYQRN-UHFFFAOYSA-N	CC1OCCO1	C4H8O2	AlkEthOH_r1142
11	923	DHXVGJBLRPWPCS-UHFFFAOYSA-N	C1CCOCC1	C5H10O	AlkEthOH_r93
10	877	GDOPTJXRTPNYNR-UHFFFAOYSA-N	CC1CCCC1	C6H12	AlkEthOH_r858
9	1777	VDFVNEFVBPFDSB-UHFFFAOYSA-N	C1COCOC1	C4H8O2	AlkEthOH_r161
8	1628	WYURNTSHIVDZCO-UHFFFAOYSA-N	C1CCOC1	C4H8O	AlkEthOH_r86
7	1897	VJQHJNIGWOABDZ-UHFFFAOYSA-N	CC1COC1	C4H8O	AlkEthOH_r1056
6	1088	WNXJIVFYUVYPPR-UHFFFAOYSA-N	C1COCO1	C3H6O2	AlkEthOH_r155
5	1616	BDJAEZRIGNCQBZ-UHFFFAOYSA-N	CC1CCC1	C5H10	AlkEthOH_r845
4	1482	RGSFGYAAUTVSQA-UHFFFAOYSA-N	C1CCCC1	C5H10	AlkEthOH_r58
3	585	ZRCRAZUEBCFETN-UHFFFAOYSA-N	CC1OCO1	C3H6O2	AlkEthOH_r1152
2	810	GFAJOMHUNNCCJQ-UHFFFAOYSA-N	C1OCO1	C2H4O2	AlkEthOH_r182
1	842	PMPVIKIVABFJJI-UHFFFAOYSA-N	C1CCC1	C4H8	AlkEthOH_r51
0	1027	AHHWIHXENZJRFG-UHFFFAOYSA-N	C1COC1	C3H6O	AlkEthOH_r131
